,id_comune,Comune,Grado,Materia,Anno,Punteggio_percentuale_medio,Dev_Std_Punteggio_Percentuale,Punteggio_wle_medio,Dev_Std_Punteggio_wle,perc_copertura_stu
26750,22161,ROVERETO,5,Mathematics,2014-15,"57,72","19,57","205,74","39,20","89,12"
26751,22167,SAN MICHELE ALL'ADIGE,5,Mathematics,2014-15,"55,31","16,26","201,48","32,62","82,35"
26753,22183,STORO,5,Mathematics,2014-15,"52,37","18,48","195,94","35,55","93,44"
26754,22205,TRENTO,5,Mathematics,2014-15,"58,21","20,51","207,18","41,10","88,22"
26755,22213,VERMIGLIO,5,Mathematics,2014-15,"55,99","20,61","202,76","39,99","88,00"
26756,22229,LEDRO,5,Mathematics,2014-15,"56,68","19,90","203,68","38,40","91,53"
26757,22230,PREDAIA,5,Mathematics,2014-15,"68,16","18,22","226,52","37,52","97,14"
28584,22006,ARCO,8,Mathematics,2014-15,"60,74","17,12","203,93","38,82","92,75"
28585,22139,PERGINE VALSUGANA,8,Mathematics,2014-15,"62,03","16,74","205,79","36,50","91,23"
28586,22143,PINZOLO,8,Mathematics,2014-15,"66,37","16,16","214,34","39,65","94,23"
28587,22153,RIVA DEL GARDA,8,Mathematics,2014-15,"57,96","18,16","198,17","40,87","94,06"
28588,22161,ROVERETO,8,Mathematics,2014-15,"60,95","18,72","205,11","42,92","86,97"
28589,22205,TRENTO,8,Mathematics,2014-15,"60,97","18,03","204,31","41,62","90,20"
29377,22006,ARCO,10,Mathematics,2014-15,"35,28","17,44","186,30","30,70","97,67"
29378,22022,BORGO VALSUGANA,10,Mathematics,2014-15,"42,80","21,06","198,89","38,75","94,86"
29379,22050,CAVALESE,10,Mathematics,2014-15,"49,35","19,53","209,40","32,77","87,93"
29380,22061,CIVEZZANO,10,Mathematics,2014-15,"41,06","17,99","197,06","29,43","96,30"
29381,22062,CLES,10,Mathematics,2014-15,"48,96","19,10","204,43","34,31","97,34"
29382,22104,LEVICO TERME,10,Mathematics,2014-15,"28,50","13,50","175,10","25,90","97,19"
29383,22117,MEZZOLOMBARDO,10,Mathematics,2014-15,"46,27","19,31","205,03","32,16","89,47"
29384,22139,PERGINE VALSUGANA,10,Mathematics,2014-15,"47,58","18,62","207,54","30,76","92,06"
29386,22153,RIVA DEL GARDA,10,Mathematics,2014-15,"52,08","22,31","208,36","39,96","90,11"
29387,22161,ROVERETO,10,Mathematics,2014-15,"45,31","22,19","200,76","42,92","91,39"
29388,22167,SAN MICHELE ALL'ADIGE,10,Mathematics,2014-15,"51,66","18,22","209,69","29,84","95,28"
29389,22199,TIONE DI TRENTO,10,Mathematics,2014-15,"44,30","20,08","201,13","33,73","94,05"
29391,22205,TRENTO,10,Mathematics,2014-15,"49,74","21,94","209,20","39,58","91,53"
30394,22001,ALA,2,Italian,2015-16,"44,07","22,23","192,19","37,61","92,78"
30395,22006,ARCO,2,Italian,2015-16,"54,11","24,31","208,91","40,43","90,32"
30396,22007,AVIO,2,Italian,2015-16,"45,96","21,14","194,39","37,80","95,56"
30397,22009,BASELGA DI PINÈ,2,Italian,2015-16,"43,92","21,74","191,55","36,09","98,31"
30399,22047,CASTELLO-MOLINA DI FIEMME,2,Italian,2015-16,"57,14","24,28","212,22","43,98","95,24"
30400,22050,CAVALESE,2,Italian,2015-16,"60,06","19,16","215,20","31,97","97,06"
30401,22053,CAVEDINE,2,Italian,2015-16,"54,83","22,78","210,00","35,87","91,67"
30402,22061,CIVEZZANO,2,Italian,2015-16,"63,49","20,07","224,29","34,58","94,74"
30403,22079,DRO,2,Italian,2015-16,"46,30","23,47","194,09","40,81","94,74"
30404,22103,LAVIS,2,Italian,2015-16,"45,71","25,06","193,66","45,18","94,68"
30405,22115,MEZZANO,2,Italian,2015-16,"57,94","25,03","217,29","47,55","100,00"
30406,22124,NAGO-TORBOLE,2,Italian,2015-16,"61,12","22,65","222,74","42,76","95,83"
30407,22139,PERGINE VALSUGANA,2,Italian,2015-16,"50,74","24,96","203,59","43,96","93,13"
30409,22153,RIVA DEL GARDA,2,Italian,2015-16,"49,74","25,55","201,19","45,79","92,45"
30410,22156,RONCEGNO TERME,2,Italian,2015-16,"56,84","21,47","213,68","36,75","94,74"
30411,22161,ROVERETO,2,Italian,2015-16,"51,21","24,92","202,65","44,77","90,52"
30412,22167,SAN MICHELE ALL'ADIGE,2,Italian,2015-16,"49,77","24,65","202,20","44,39","83,78"
30413,22183,STORO,2,Italian,2015-16,"47,75","20,47","199,77","33,62","92,41"
30414,22205,TRENTO,2,Italian,2015-16,"52,69","25,50","205,98","46,37","88,26"
30415,22229,LEDRO,2,Italian,2015-16,"48,43","20,42","199,06","34,86","95,16"
30416,22230,PREDAIA,2,Italian,2015-16,"51,82","24,62","205,03","44,39","88,75"
30417,22236,ALTOPIANO DELLA VIGOLANA,2,Italian,2015-16,"56,52","20,82","212,35","35,37","95,12"
30418,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Italian,2015-16,"50,64","23,70","205,78","44,77","93,94"
32575,22001,ALA,5,Italian,2015-16,"60,98","17,64","193,90","36,53","93,33"
32576,22006,ARCO,5,Italian,2015-16,"62,56","17,09","196,66","35,30","93,04"
32577,22007,AVIO,5,Italian,2015-16,"60,04","17,88","192,41","35,56","97,44"
32578,22009,BASELGA DI PINÈ,5,Italian,2015-16,"63,64","15,66","199,87","33,70","96,15"
32580,22047,CASTELLO-MOLINA DI FIEMME,5,Italian,2015-16,"70,09","15,81","213,48","35,30","100,00"
32581,22050,CAVALESE,5,Italian,2015-16,"68,43","14,45","209,28","32,66","97,62"
32582,22053,CAVEDINE,5,Italian,2015-16,"64,88","16,06","202,23","33,28","90,63"
32583,22061,CIVEZZANO,5,Italian,2015-16,"68,46","15,55","207,83","31,48","86,11"
32584,22079,DRO,5,Italian,2015-16,"67,69","15,27","207,50","33,38","81,82"
32585,22103,LAVIS,5,Italian,2015-16,"66,21","15,88","203,90","33,76","92,13"
32586,22115,MEZZANO,5,Italian,2015-16,"64,21","17,39","201,24","36,86","90,00"
32587,22124,NAGO-TORBOLE,5,Italian,2015-16,"60,84","18,62","193,96","37,67","100,00"
32588,22139,PERGINE VALSUGANA,5,Italian,2015-16,"63,31","16,69","198,57","34,74","95,63"
32590,22153,RIVA DEL GARDA,5,Italian,2015-16,"62,97","18,43","197,73","37,84","88,17"
32591,22156,RONCEGNO TERME,5,Italian,2015-16,"66,94","16,11","206,67","35,08","86,11"
32592,22161,ROVERETO,5,Italian,2015-16,"62,93","16,94","197,62","34,52","88,99"
32593,22167,SAN MICHELE ALL'ADIGE,5,Italian,2015-16,"65,12","16,07","201,81","32,80","87,18"
32594,22183,STORO,5,Italian,2015-16,"59,33","19,29","190,61","39,48","93,48"
32595,22205,TRENTO,5,Italian,2015-16,"64,30","18,08","200,62","38,62","90,78"
32596,22213,VERMIGLIO,5,Italian,2015-16,"66,06","12,79","203,19","26,77","92,00"
32597,22229,LEDRO,5,Italian,2015-16,"57,90","16,68","187,68","32,73","94,44"
32598,22230,PREDAIA,5,Italian,2015-16,"63,57","14,55","196,65","29,03","89,06"
32599,22236,ALTOPIANO DELLA VIGOLANA,5,Italian,2015-16,"66,58","16,07","204,91","33,43","96,67"
32600,22245,PRIMIERO SAN MARTINO DI CASTROZZA,5,Italian,2015-16,"64,66","14,28","200,47","29,68","88,24"
34503,22006,ARCO,8,Italian,2015-16,"60,08","15,93","193,05","34,65","94,20"
34504,22117,MEZZOLOMBARDO,8,Italian,2015-16,"60,01","16,65","192,83","36,09","91,89"
34505,22139,PERGINE VALSUGANA,8,Italian,2015-16,"63,26","16,64","199,58","36,00","93,33"
34506,22153,RIVA DEL GARDA,8,Italian,2015-16,"61,54","17,11","196,39","37,69","91,74"
34507,22161,ROVERETO,8,Italian,2015-16,"61,84","17,54","197,71","40,19","93,22"
34508,22205,TRENTO,8,Italian,2015-16,"62,60","17,30","197,89","39,36","93,77"
34509,22230,PREDAIA,8,Italian,2015-16,"60,08","15,58","190,13","35,42","93,24"
35275,22006,ARCO,10,Italian,2015-16,"49,97","16,87","183,37","35,15","95,04"
35276,22022,BORGO VALSUGANA,10,Italian,2015-16,"52,47","20,51","188,51","45,09","87,01"
35277,22050,CAVALESE,10,Italian,2015-16,"66,45","14,56","218,64","31,99","84,88"
35278,22061,CIVEZZANO,10,Italian,2015-16,"57,25","13,15","198,28","27,01","89,39"
35279,22062,CLES,10,Italian,2015-16,"59,14","17,40","202,44","38,17","93,56"
35280,22104,LEVICO TERME,10,Italian,2015-16,"43,26","13,69","169,98","28,23","87,89"
35281,22117,MEZZOLOMBARDO,10,Italian,2015-16,"56,62","13,96","195,16","31,76","88,73"
35282,22139,PERGINE VALSUGANA,10,Italian,2015-16,"55,43","16,85","194,52","37,81","91,39"
35284,22153,RIVA DEL GARDA,10,Italian,2015-16,"62,47","18,53","210,56","40,74","88,81"
35285,22161,ROVERETO,10,Italian,2015-16,"58,53","16,03","201,05","33,94","84,67"
35286,22167,SAN MICHELE ALL'ADIGE,10,Italian,2015-16,"59,36","15,29","202,11","31,80","79,43"
35287,22199,TIONE DI TRENTO,10,Italian,2015-16,"56,31","18,80","196,64","40,87","88,89"
35288,22205,TRENTO,10,Italian,2015-16,"61,48","17,02","207,21","37,96","85,16"
35289,22245,PRIMIERO SAN MARTINO DI CASTROZZA,10,Italian,2015-16,"53,79","18,71","190,24","43,75","87,76"
36431,22001,ALA,2,Mathematics,2015-16,"44,75","20,06","187,96","38,49","93,81"
36432,22006,ARCO,2,Mathematics,2015-16,"54,67","19,25","206,18","37,22","92,47"
36433,22007,AVIO,2,Mathematics,2015-16,"43,44","19,10","184,60","36,75","95,56"
36434,22009,BASELGA DI PINÈ,2,Mathematics,2015-16,"52,47","21,57","202,94","42,07","100,00"
36436,22047,CASTELLO-MOLINA DI FIEMME,2,Mathematics,2015-16,"49,71","18,05","197,19","34,28","100,00"
36437,22050,CAVALESE,2,Mathematics,2015-16,"56,15","19,38","201,22","43,52","97,06"
36438,22053,CAVEDINE,2,Mathematics,2015-16,"47,39","17,95","192,57","32,68","91,67"
36439,22061,CIVEZZANO,2,Mathematics,2015-16,"67,33","17,14","230,55","35,05","94,74"
36440,22079,DRO,2,Mathematics,2015-16,"46,13","18,05","189,68","34,03","98,68"
36441,22103,LAVIS,2,Mathematics,2015-16,"48,72","21,91","195,69","44,63","93,62"
36442,22115,MEZZANO,2,Mathematics,2015-16,"49,93","20,86","197,79","38,62","100,00"
36443,22124,NAGO-TORBOLE,2,Mathematics,2015-16,"48,52","20,30","193,73","38,52","95,83"
36444,22139,PERGINE VALSUGANA,2,Mathematics,2015-16,"57,31","21,78","211,69","43,78","93,13"
36446,22153,RIVA DEL GARDA,2,Mathematics,2015-16,"55,63","19,38","208,40","37,79","93,71"
36447,22156,RONCEGNO TERME,2,Mathematics,2015-16,"59,84","20,25","218,83","46,81","86,84"
36448,22161,ROVERETO,2,Mathematics,2015-16,"54,85","21,72","207,00","44,02","90,54"
36449,22167,SAN MICHELE ALL'ADIGE,2,Mathematics,2015-16,"55,23","21,40","206,35","41,36","83,78"
36450,22183,STORO,2,Mathematics,2015-16,"59,20","19,61","214,10","40,01","93,67"
36451,22205,TRENTO,2,Mathematics,2015-16,"52,89","21,51","202,34","43,54","89,58"
36452,22229,LEDRO,2,Mathematics,2015-16,"55,30","19,39","207,75","36,30","95,16"
36453,22230,PREDAIA,2,Mathematics,2015-16,"59,15","22,34","215,03","46,15","88,75"
36454,22236,ALTOPIANO DELLA VIGOLANA,2,Mathematics,2015-16,"50,78","21,09","199,16","40,34","90,24"
36455,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Mathematics,2015-16,"52,22","20,59","200,65","38,25","93,94"
38615,22001,ALA,5,Mathematics,2015-16,"49,00","16,45","192,42","32,31","95,56"
38616,22006,ARCO,5,Mathematics,2015-16,"55,05","18,53","204,80","37,46","91,77"
38617,22007,AVIO,5,Mathematics,2015-16,"51,07","18,25","196,76","35,47","94,87"
38618,22009,BASELGA DI PINÈ,5,Mathematics,2015-16,"58,06","18,31","212,06","39,44","96,15"
38620,22047,CASTELLO-MOLINA DI FIEMME,5,Mathematics,2015-16,"60,55","16,60","214,39","32,47","100,00"
38621,22050,CAVALESE,5,Mathematics,2015-16,"61,45","17,09","216,92","34,95","97,62"
38622,22053,CAVEDINE,5,Mathematics,2015-16,"62,88","15,10","219,88","32,06","87,50"
38623,22061,CIVEZZANO,5,Mathematics,2015-16,"65,95","11,90","224,51","25,43","83,33"
38624,22079,DRO,5,Mathematics,2015-16,"61,30","15,62","215,32","29,83","76,36"
38625,22103,LAVIS,5,Mathematics,2015-16,"50,84","16,88","196,87","34,75","91,01"
38626,22115,MEZZANO,5,Mathematics,2015-16,"51,88","16,24","198,26","31,20","92,50"
38627,22124,NAGO-TORBOLE,5,Mathematics,2015-16,"54,09","17,24","202,68","33,33","97,30"
38628,22139,PERGINE VALSUGANA,5,Mathematics,2015-16,"53,35","18,43","201,54","37,41","95,63"
38630,22153,RIVA DEL GARDA,5,Mathematics,2015-16,"53,84","18,96","201,88","39,74","91,12"
38631,22156,RONCEGNO TERME,5,Mathematics,2015-16,"62,05","14,04","217,92","28,16","77,78"
38632,22161,ROVERETO,5,Mathematics,2015-16,"53,54","19,09","201,51","38,13","88,31"
38633,22167,SAN MICHELE ALL'ADIGE,5,Mathematics,2015-16,"56,21","15,43","205,83","29,01","87,18"
38634,22183,STORO,5,Mathematics,2015-16,"55,29","16,55","205,15","32,97","93,48"
38635,22205,TRENTO,5,Mathematics,2015-16,"54,47","19,64","203,41","40,23","90,34"
38636,22213,VERMIGLIO,5,Mathematics,2015-16,"60,42","15,43","213,04","28,84","92,00"
38637,22229,LEDRO,5,Mathematics,2015-16,"52,58","16,95","199,77","33,14","91,67"
38638,22230,PREDAIA,5,Mathematics,2015-16,"65,01","13,02","221,78","25,72","87,50"
38639,22236,ALTOPIANO DELLA VIGOLANA,5,Mathematics,2015-16,"58,93","17,93","211,91","36,78","95,00"
38640,22245,PRIMIERO SAN MARTINO DI CASTROZZA,5,Mathematics,2015-16,"54,97","17,36","204,60","34,19","96,08"
40542,22006,ARCO,8,Mathematics,2015-16,"49,76","19,71","194,91","36,44","94,20"
40543,22117,MEZZOLOMBARDO,8,Mathematics,2015-16,"50,75","21,59","196,87","41,29","91,89"
40544,22139,PERGINE VALSUGANA,8,Mathematics,2015-16,"55,88","20,70","204,78","40,14","92,96"
40545,22153,RIVA DEL GARDA,8,Mathematics,2015-16,"53,27","21,38","201,53","41,32","91,74"
40546,22161,ROVERETO,8,Mathematics,2015-16,"53,72","21,84","202,17","42,34","93,22"
40547,22205,TRENTO,8,Mathematics,2015-16,"53,75","21,34","201,61","41,26","93,77"
40548,22230,PREDAIA,8,Mathematics,2015-16,"56,18","20,53","205,73","40,41","93,24"
41323,22006,ARCO,10,Mathematics,2015-16,"33,30","18,79","184,58","30,40","95,07"
41324,22022,BORGO VALSUGANA,10,Mathematics,2015-16,"37,64","23,43","193,38","40,76","87,01"
41325,22050,CAVALESE,10,Mathematics,2015-16,"43,92","20,26","204,35","33,99","86,05"
41326,22061,CIVEZZANO,10,Mathematics,2015-16,"40,72","14,44","199,71","23,06","89,39"
41327,22062,CLES,10,Mathematics,2015-16,"46,89","24,55","210,03","44,50","93,78"
41328,22104,LEVICO TERME,10,Mathematics,2015-16,"27,78","14,25","176,16","28,28","86,89"
41329,22117,MEZZOLOMBARDO,10,Mathematics,2015-16,"39,96","19,30","194,89","33,50","88,89"
41330,22139,PERGINE VALSUGANA,10,Mathematics,2015-16,"38,35","22,45","192,86","37,50","90,07"
41332,22153,RIVA DEL GARDA,10,Mathematics,2015-16,"50,58","24,85","215,39","44,95","89,52"
41333,22161,ROVERETO,10,Mathematics,2015-16,"42,63","23,57","201,62","42,10","84,91"
41334,22167,SAN MICHELE ALL'ADIGE,10,Mathematics,2015-16,"53,53","21,57","216,85","35,89","79,43"
41335,22199,TIONE DI TRENTO,10,Mathematics,2015-16,"38,54","19,62","189,73","33,41","89,58"
41336,22205,TRENTO,10,Mathematics,2015-16,"48,47","23,88","211,34","43,32","85,38"
41337,22245,PRIMIERO SAN MARTINO DI CASTROZZA,10,Mathematics,2015-16,"41,03","20,14","199,59","35,18","88,78"
42475,22001,ALA,2,Italian,2016-17,"39,01","21,41","196,07","41,48","96,04"
42476,22006,ARCO,2,Italian,2016-17,"43,60","20,30","201,41","38,51","95,83"
42477,22007,AVIO,2,Italian,2016-17,"41,28","15,17","198,57","26,95","86,36"
42478,22009,BASELGA DI PINÈ,2,Italian,2016-17,"51,53","18,60","212,38","32,19","96,43"
42480,22047,CASTELLO-MOLINA DI FIEMME,2,Italian,2016-17,"48,24","22,34","208,91","40,18","92,31"
42481,22050,CAVALESE,2,Italian,2016-17,"55,24","18,38","217,11","31,17","92,73"
42482,22053,CAVEDINE,2,Italian,2016-17,"44,66","23,24","203,20","41,89","100,00"
42483,22061,CIVEZZANO,2,Italian,2016-17,"60,31","18,12","226,59","35,82","97,83"
42484,22079,DRO,2,Italian,2016-17,"38,86","25,64","193,34","52,34","89,55"
42485,22103,LAVIS,2,Italian,2016-17,"44,92","22,60","202,18","41,61","88,42"
42486,22115,MEZZANO,2,Italian,2016-17,"33,90","21,43","182,01","43,99","88,89"
42487,22139,PERGINE VALSUGANA,2,Italian,2016-17,"40,88","22,68","194,50","43,24","93,61"
42489,22153,RIVA DEL GARDA,2,Italian,2016-17,"40,98","20,33","197,70","37,18","93,18"
42490,22156,RONCEGNO TERME,2,Italian,2016-17,"60,44","18,66","225,64","34,77","97,06"
42491,22161,ROVERETO,2,Italian,2016-17,"44,04","23,32","203,63","44,70","88,65"
42492,22167,SAN MICHELE ALL'ADIGE,2,Italian,2016-17,"41,60","19,47","198,80","36,37","91,43"
42493,22183,STORO,2,Italian,2016-17,"40,86","22,56","198,05","41,41","87,72"
42494,22205,TRENTO,2,Italian,2016-17,"43,86","23,50","201,11","46,61","90,74"
42495,22213,VERMIGLIO,2,Italian,2016-17,"53,42","23,11","222,33","54,26","94,44"
42496,22229,LEDRO,2,Italian,2016-17,"35,98","20,48","188,88","40,46","98,00"
42497,22230,PREDAIA,2,Italian,2016-17,"42,64","21,63","200,70","38,60","93,24"
42498,22236,ALTOPIANO DELLA VIGOLANA,2,Italian,2016-17,"46,21","21,18","205,82","44,68","94,29"
42499,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Italian,2016-17,"35,39","23,12","189,95","45,20","90,00"
44631,22001,ALA,5,Italian,2016-17,"58,73","17,09","205,49","34,39","87,78"
44632,22006,ARCO,5,Italian,2016-17,"55,90","17,89","200,15","36,08","95,05"
44633,22007,AVIO,5,Italian,2016-17,"51,89","19,37","192,23","36,38","93,33"
44634,22009,BASELGA DI PINÈ,5,Italian,2016-17,"63,64","16,72","213,62","33,82","93,75"
44636,22047,CASTELLO-MOLINA DI FIEMME,5,Italian,2016-17,"61,38","18,87","209,51","38,81","100,00"
44637,22050,CAVALESE,5,Italian,2016-17,"58,07","22,10","203,65","43,19","87,50"
44638,22053,CAVEDINE,5,Italian,2016-17,"55,46","20,58","199,65","40,89","96,43"
44639,22061,CIVEZZANO,5,Italian,2016-17,"65,38","17,17","217,08","36,75","90,70"
44640,22079,DRO,5,Italian,2016-17,"55,61","18,84","198,57","37,24","91,30"
44641,22103,LAVIS,5,Italian,2016-17,"54,03","19,86","196,70","38,27","90,10"
44642,22115,MEZZANO,5,Italian,2016-17,"54,06","21,12","197,82","42,83","97,50"
44643,22139,PERGINE VALSUGANA,5,Italian,2016-17,"60,23","18,28","208,60","38,33","89,79"
44645,22153,RIVA DEL GARDA,5,Italian,2016-17,"55,66","19,11","199,67","37,55","92,13"
44646,22156,RONCEGNO TERME,5,Italian,2016-17,"60,44","14,10","206,85","27,30","100,00"
44647,22161,ROVERETO,5,Italian,2016-17,"55,92","19,43","200,06","38,28","92,81"
44648,22167,SAN MICHELE ALL'ADIGE,5,Italian,2016-17,"59,51","15,47","204,84","30,04","81,82"
44649,22183,STORO,5,Italian,2016-17,"54,96","18,36","198,05","35,29","86,89"
44650,22205,TRENTO,5,Italian,2016-17,"59,11","18,78","205,96","37,59","90,67"
44651,22213,VERMIGLIO,5,Italian,2016-17,"64,58","12,92","214,75","27,41","86,67"
44652,22229,LEDRO,5,Italian,2016-17,"51,97","20,09","192,15","39,15","85,48"
44653,22230,PREDAIA,5,Italian,2016-17,"55,88","18,83","199,14","36,52","89,55"
44654,22236,ALTOPIANO DELLA VIGOLANA,5,Italian,2016-17,"54,13","16,93","196,26","31,82","98,08"
44655,22245,PRIMIERO SAN MARTINO DI CASTROZZA,5,Italian,2016-17,"56,39","16,29","200,79","31,58","92,50"
46551,22006,ARCO,8,Italian,2016-17,"66,45","16,47","202,27","39,03","94,27"
46552,22117,MEZZOLOMBARDO,8,Italian,2016-17,"62,93","17,78","193,93","39,92","89,44"
46553,22139,PERGINE VALSUGANA,8,Italian,2016-17,"62,85","15,12","192,63","33,08","94,35"
46554,22153,RIVA DEL GARDA,8,Italian,2016-17,"63,06","16,43","194,53","37,89","93,91"
46555,22161,ROVERETO,8,Italian,2016-17,"62,67","17,38","192,70","40,61","91,31"
46556,22205,TRENTO,8,Italian,2016-17,"65,61","16,88","199,54","38,75","93,40"
46557,22230,PREDAIA,8,Italian,2016-17,"65,46","18,50","199,44","41,31","96,00"
47320,22006,ARCO,10,Italian,2016-17,"61,30","10,89","208,57","24,26","94,44"
47321,22022,BORGO VALSUGANA,10,Italian,2016-17,"60,00","14,66","205,78","33,24","86,13"
47322,22050,CAVALESE,10,Italian,2016-17,"59,86","15,00","205,95","33,67","89,36"
47323,22061,CIVEZZANO,10,Italian,2016-17,"54,89","11,64","194,48","24,95","93,55"
47324,22062,CLES,10,Italian,2016-17,"56,88","16,58","198,72","37,39","94,86"
47325,22117,MEZZOLOMBARDO,10,Italian,2016-17,"57,87","15,51","200,27","35,12","95,28"
47326,22139,PERGINE VALSUGANA,10,Italian,2016-17,"59,32","15,71","204,61","35,30","90,27"
47328,22153,RIVA DEL GARDA,10,Italian,2016-17,"67,62","12,65","223,45","30,98","93,49"
47329,22161,ROVERETO,10,Italian,2016-17,"59,53","15,73","205,02","36,32","90,78"
47330,22199,TIONE DI TRENTO,10,Italian,2016-17,"65,96","12,20","219,07","28,91","83,42"
47331,22205,TRENTO,10,Italian,2016-17,"63,41","14,72","213,26","35,14","89,37"
47332,22245,PRIMIERO SAN MARTINO DI CASTROZZA,10,Italian,2016-17,"60,68","14,04","207,72","31,39","95,74"
48507,22001,ALA,2,Mathematics,2016-17,"51,40","21,03","198,58","38,91","96,04"
48508,22006,ARCO,2,Mathematics,2016-17,"55,82","19,69","205,28","36,15","94,27"
48509,22007,AVIO,2,Mathematics,2016-17,"55,98","19,45","206,52","35,65","97,73"
48510,22009,BASELGA DI PINÈ,2,Mathematics,2016-17,"60,60","20,05","215,49","39,90","92,86"
48512,22047,CASTELLO-MOLINA DI FIEMME,2,Mathematics,2016-17,"70,56","16,46","231,09","35,28","92,31"
48513,22050,CAVALESE,2,Mathematics,2016-17,"57,33","19,69","209,38","38,89","92,73"
48514,22053,CAVEDINE,2,Mathematics,2016-17,"61,39","22,38","217,81","46,47","100,00"
48515,22061,CIVEZZANO,2,Mathematics,2016-17,"69,22","11,43","225,22","24,46","100,00"
48516,22079,DRO,2,Mathematics,2016-17,"50,06","21,08","195,86","39,01","91,04"
48517,22103,LAVIS,2,Mathematics,2016-17,"58,20","19,77","210,74","38,49","90,53"
48518,22115,MEZZANO,2,Mathematics,2016-17,"51,79","19,38","199,12","34,54","83,33"
48519,22139,PERGINE VALSUGANA,2,Mathematics,2016-17,"54,22","22,50","203,20","44,07","91,73"
48521,22153,RIVA DEL GARDA,2,Mathematics,2016-17,"54,09","20,80","202,82","39,17","91,48"
48522,22156,RONCEGNO TERME,2,Mathematics,2016-17,"66,72","14,47","221,79","27,09","97,06"
48523,22161,ROVERETO,2,Mathematics,2016-17,"56,05","20,93","206,80","40,69","91,73"
48524,22167,SAN MICHELE ALL'ADIGE,2,Mathematics,2016-17,"48,17","20,68","192,07","37,24","91,43"
48525,22183,STORO,2,Mathematics,2016-17,"48,03","19,22","192,36","34,67","85,96"
48526,22205,TRENTO,2,Mathematics,2016-17,"54,15","22,25","201,39","45,79","90,24"
48527,22213,VERMIGLIO,2,Mathematics,2016-17,"67,13","18,54","227,62","42,99","94,44"
48528,22229,LEDRO,2,Mathematics,2016-17,"46,66","21,41","188,97","40,15","94,00"
48529,22230,PREDAIA,2,Mathematics,2016-17,"60,36","20,63","215,16","40,14","90,54"
48530,22236,ALTOPIANO DELLA VIGOLANA,2,Mathematics,2016-17,"61,99","20,10","217,93","38,83","94,29"
48531,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Mathematics,2016-17,"64,94","15,63","220,43","33,43","93,33"
50683,22001,ALA,5,Mathematics,2016-17,"58,26","18,02","208,17","35,52","90,00"
50684,22006,ARCO,5,Mathematics,2016-17,"57,17","17,45","206,33","36,52","95,60"
50685,22007,AVIO,5,Mathematics,2016-17,"52,16","18,11","197,34","36,54","97,78"
50686,22009,BASELGA DI PINÈ,5,Mathematics,2016-17,"67,16","18,64","223,80","38,34","95,83"
50688,22047,CASTELLO-MOLINA DI FIEMME,5,Mathematics,2016-17,"65,16","16,62","218,39","31,77","95,65"
50689,22050,CAVALESE,5,Mathematics,2016-17,"59,28","17,72","208,13","33,82","95,00"
50690,22053,CAVEDINE,5,Mathematics,2016-17,"60,24","20,85","209,23","41,92","92,86"
50691,22061,CIVEZZANO,5,Mathematics,2016-17,"62,81","14,94","215,26","27,75","95,35"
50692,22079,DRO,5,Mathematics,2016-17,"49,98","16,83","192,60","31,85","91,30"
50693,22103,LAVIS,5,Mathematics,2016-17,"48,17","18,62","188,30","35,67","92,08"
50694,22115,MEZZANO,5,Mathematics,2016-17,"55,30","19,09","201,50","37,50","92,50"
50695,22139,PERGINE VALSUGANA,5,Mathematics,2016-17,"63,36","17,25","218,33","37,39","93,19"
50697,22153,RIVA DEL GARDA,5,Mathematics,2016-17,"57,16","19,10","204,71","37,15","92,13"
50698,22156,RONCEGNO TERME,5,Mathematics,2016-17,"67,54","15,84","223,19","34,97","96,55"
50699,22161,ROVERETO,5,Mathematics,2016-17,"54,97","19,13","202,13","38,60","92,81"
50700,22167,SAN MICHELE ALL'ADIGE,5,Mathematics,2016-17,"58,42","17,26","206,62","34,88","84,09"
50701,22183,STORO,5,Mathematics,2016-17,"54,13","18,60","199,93","36,67","88,52"
50702,22205,TRENTO,5,Mathematics,2016-17,"55,25","18,80","201,94","36,77","89,57"
50703,22213,VERMIGLIO,5,Mathematics,2016-17,"70,07","14,62","231,18","36,59","80,00"
50704,22229,LEDRO,5,Mathematics,2016-17,"55,31","18,03","200,93","33,40","82,26"
50705,22230,PREDAIA,5,Mathematics,2016-17,"61,51","17,53","212,46","33,69","91,04"
50706,22236,ALTOPIANO DELLA VIGOLANA,5,Mathematics,2016-17,"60,78","16,20","211,66","30,97","96,15"
50707,22245,PRIMIERO SAN MARTINO DI CASTROZZA,5,Mathematics,2016-17,"51,92","15,45","195,48","28,34","92,50"
52621,22006,ARCO,8,Mathematics,2016-17,"59,64","20,03","211,33","40,31","93,75"
52622,22117,MEZZOLOMBARDO,8,Mathematics,2016-17,"56,33","19,86","204,91","40,68","90,00"
52623,22139,PERGINE VALSUGANA,8,Mathematics,2016-17,"56,57","20,45","205,10","41,87","94,35"
52624,22153,RIVA DEL GARDA,8,Mathematics,2016-17,"58,45","20,48","209,03","42,12","93,91"
52625,22161,ROVERETO,8,Mathematics,2016-17,"57,18","20,41","206,54","41,68","91,31"
