coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
MARIANGELA SIMONCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Asilo,
    
1 -
    
38052    
CALDONAZZO",0461-724658,nan,caldonazzo.presidente@fpsm.tn.it,nan,caldonazzo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Caldonazzo
            
",/Scuole/Scuola-dell-infanzia-di-Caldonazzo2,63
SARA DE ZOLT,nan,nan,Scuola dell'infanzia,nan,nan,"Strèda sènc Felip e Giacum,
    
9 -
    
38031    
CAMPITELLO DI FASSA - CIAMPEDEL",0462-750470,nan,campitello.presidente@fpsm.tn.it,nan,campitello.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Campitello di Fassa
            
",/Scuole/Scuola-dell-infanzia-di-Campitello-di-Fassa2,64
UTE PANCHER,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Maurizio,
    
3 -
    
38010    
CAMPODENNO",0461-655166,nan,campodenno.presidente@fpsm.tn.it,nan,campodenno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Campodenno
            
",/Scuole/Scuola-dell-infanzia-di-Campodenno2,65
TIZIANA CEOL,nan,nan,Scuola dell'infanzia,nan,nan,"Via Giovanelli,
    
40 -
    
38033    
VILLE DI FIEMME",0462-341759,nan,carano.presidente@fpsm.tn.it,nan,carano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Carano
            
",/Scuole/Scuola-dell-infanzia-di-Carano2,66
PAMELA TOMASELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via IV Novembre,
    
34/A -
    
38010    
TERRE D'ADIGE",0461-870656,nan,nave.presidente@fpsm.tn.it,nan,nave.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Nave San Rocco
            
",/Scuole/Scuola-dell-infanzia-di-Nave-San-Rocco2,67
ROBERTA MEDEGHINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Baroni Del Moll,
    
2 -
    
38060    
NOMI",0464-835294,nan,nomi.segretario@fpsm.tn.it,nan,nomi.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Nomi
            
",/Scuole/Scuola-dell-infanzia-di-Nomi2,68
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via XX Settembre,
    
5 -
    
38050    
OSPEDALETTO",+39 347 0362437,nan,ospedaletto.presidente@fpsm.tn.it,nan,ospedaletto.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ospedaletto
            
",/Scuole/Scuola-dell-infanzia-di-Ospedaletto2,69
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Via alle Cime - Padergnone,
    
14 -
    
38070    
VALLELAGHI",0461-864358,nan,padergnone.presidente@fpsm.tn.it,nan,padergnone.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Padergnone
            
",/Scuole/Scuola-dell-infanzia-di-Padergnone2,70
SARA DE ZOLT,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Chiesa,
    
6 -
    
38030    
PANCHIA'",0462-814141,nan,panchia.presidente@fpsm.tn.it,nan,panchia.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Panchià
            
",/Scuole/Scuola-dell-infanzia-di-Panchia2,71
ROBERTA MEDEGHINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Antonio,
    
1 -
    
38060    
VILLA LAGARINA",0464-412151,nan,pedersano.presidente@fpsm.tn.it,nan,pedersano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pedersano
            
",/Scuole/Scuola-dell-infanzia-di-Pedersano2,72
GIANNA ANGELI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Mercato,
    
11 -
    
38074    
DRO",0464-507142,nan,pietramurata.presidente@fpsm.tn.it,nan,pietramurata.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pietramurata
            
",/Scuole/Scuola-dell-infanzia-di-Pietramurata2,73
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via Fratelli Rizza',
    
14 -
    
38050    
PIEVE TESINO",0461-594733,nan,pieve.tesino.presidente@fpsm.tn.it,nan,pieve.tesino.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pieve Tesino
            
",/Scuole/Scuola-dell-infanzia-di-Pieve-Tesino2,74
ALESSANDRA POMILIO,nan,nan,Scuola dell'infanzia,nan,nan,"Via Fiera - Creto - Pieve di Bono,
    
9/B -
    
38085    
PIEVE DI BONO-PREZZO",0465-674083,nan,pieve.bono.presidente@fpsm.tn.it,nan,pieve.bono.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pieve di Bono
            
",/Scuole/Scuola-dell-infanzia-di-Pieve-di-Bono2,75
FRANCESCA VARESCHI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Vittorio Veneto - Pilcante,
    
19 -
    
38061    
ALA",0464-672588,nan,pilcante.presidente@fpsm.tn.it,nan,pilcante.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pilcante
            
",/Scuole/Scuola-dell-infanzia-di-Pilcante2,76
ALESSANDRA POMILIO,nan,nan,Scuola dell'infanzia,nan,nan,"Via Al Sole,
    
43 -
    
38086    
PINZOLO",0465-501019,nan,pinzolo.presidente@fpsm.tn.it,nan,pinzolo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pinzolo
            
",/Scuole/Scuola-dell-infanzia-di-Pinzolo2,77
LORENZO SANTORUM,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Giovanni Bosco - Ponte Arche - Bleggio Inferiore,
    
7 -
    
38070    
COMANO TERME",0465-702422,nan,ponte.arche.presidente@fpsm.tn.it,nan,ponte.arche.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ponte Arche
            
",/Scuole/Scuola-dell-infanzia-di-Ponte-Arche2,78
IVANA LEONARDELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Pante',
    
1 -
    
38123    
TRENTO",0461-810049,nan,povo.presidente@fpsm.tn.it,nan,povo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Povo
            
",/Scuole/Scuola-dell-infanzia-di-Povo2,79
ROBERTA MEDEGHINI,nan,nan,Scuola dell'infanzia,nan,nan,"Frazione Vanza,
    
50 -
    
38068    
TRAMBILENO",0464-868074,nan,trambileno.presidente@fpsm.tn.it,nan,trambileno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pozza di Trambileno
            
",/Scuole/Scuola-dell-infanzia-di-Pozza-di-Trambileno2,80
PAMELA TOMASELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Pilati,
    
16 -
    
38015    
LAVIS",0461-240394,nan,pressano.presidente@fpsm.tn.it,nan,pressano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Pressano
            
",/Scuole/Scuola-dell-infanzia-di-Pressano2,81
LORENZO SANTORUM,nan,nan,Scuola dell'infanzia,nan,nan,"Frazione Larido,
    
10 -
    
38071    
BLEGGIO SUPERIORE",0465-779575,nan,quadra.cavrasto.presidente@fpsm.tn.it,nan,quadra.cavrasto.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Quadra - Cavrasto
            
",/Scuole/Scuola-dell-infanzia-di-Quadra-Cavrasto2,82
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Largo Caduti delle Foibe,
    
2 -
    
38066    
RIVA DEL GARDA",0464-553578,nan,riva.rione.presidente@fpsm.tn.it,nan,riva.rione.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Riva ""Degasperi""
            
",/Scuole/Scuola-dell-infanzia-di-Riva-Degasperi2,83
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Alessandro,
    
10 -
    
38066    
RIVA DEL GARDA",0464-554051,nan,s.alessandro.presidente@fpsm.tn.it,nan,s.alessandro.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Riva del Garda  ""S. Alessandro""
            
",/Scuole/Scuola-dell-infanzia-di-Riva-del-Garda-S.-Alessandro2,84
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Baldessari,
    
15 -
    
38050    
RONCEGNO TERME",0461-764199,nan,roncegno.presidente@fpsm.tn.it,nan,roncegno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Roncegno
            
",/Scuole/Scuola-dell-infanzia-di-Roncegno2,85
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Marchi,
    
14 -
    
38050    
RONCHI VALSUGANA",0461-773197,nan,ronchi.valsugana.presidente@fpsm.tn.it,nan,ronchi.valsugana.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ronchi Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Ronchi-Valsugana2,86
UTE PANCHER,nan,nan,Scuola dell'infanzia,nan,nan,"Via Edison - Taio,
    
3 -
    
38012    
PREDAIA",0463-468269,nan,taio.presidente@fpsm.tn.it,nan,taio.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Taio
            
",/Scuole/Scuola-dell-infanzia-di-Taio2,87
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Paradiso,
    
1 -
    
38050    
TELVE",0461-766315,nan,telve.presidente@fpsm.tn.it,nan,telve.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Telve
            
",/Scuole/Scuola-dell-infanzia-di-Telve2,88
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Brocchetti,
    
53 -
    
38060    
TENNO",0464-503034,nan,tenno.presidente@fpsm.tn.it,nan,tenno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Tenno
            
",/Scuole/Scuola-dell-infanzia-di-Tenno2,89
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via Marconi,
    
8/A -
    
38055    
GRIGNO",0461-769192,nan,tezze.presidente@fpsm.tn.it,nan,tezze.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Tezze Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Tezze-Valsugana2,90
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via Fuganti - Tonadico,
    
8 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-762062,nan,tonadico.segretario@fpsm.tn.it,nan,tonadico.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Tonadico
            
",/Scuole/Scuola-dell-infanzia-di-Tonadico2,91
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Don Davide Gioppi,
    
72 -
    
38069    
NAGO-TORBOLE",0464-505159,nan,torbole.presidente@fpsm.tn.it,nan,torbole.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Torbole
            
",/Scuole/Scuola-dell-infanzia-di-Torbole2,92
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Della Fontana,
    
15 -
    
38050    
TORCEGNO",0461-760796,nan,torcegno.presidente@fpsm.tn.it,nan,torcegno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Torcegno
            
",/Scuole/Scuola-dell-infanzia-di-Torcegno2,93
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Municipio - Transacqua,
    
11 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-62313,nan,transacqua.presidente@fpsm.tn.it,nan,transacqua.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Transacqua
            
",/Scuole/Scuola-dell-infanzia-di-Transacqua2,94
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Asilo Pedrotti,
    
2 -
    
38122    
TRENTO",0461-914039,nan,trento.pedrotti.presidente@fpsm.tn.it,nan,trento.pedrotti.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento  ""Pedrotti""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Pedrotti2,95
IVANA LEONARDELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Dei Paradisi,
    
4 -
    
38122    
TRENTO",0461-1482248,nan,trento.canossiane.segretario@fpsm.tn.it,nan,trento.canossiane.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento  Canossiane
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Canossiane2,96
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Viale Dei Tigli,
    
9/1 -
    
38123    
TRENTO",0461-924555,nan,trento.s.bartolomeo.segretario@fpsm.tn.it,nan,trento.s.bartolomeo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento  S. Bartolomeo
            
",/Scuole/Scuola-dell-infanzia-di-Trento-S.-Bartolomeo2,97
IVANA LEONARDELLI,ANDREA VALERIO,nan,Scuola dell'infanzia,nan,nan,"Via Kofler,
    
10 -
    
38121    
TRENTO",+39 0461 235069,+39 0461 983903,cognola.segretario@fpsm.tn.it,nan,cognola.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento Cognola  ""B. Kofler""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Cognola-B.-Kofler2,98
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Einaudi,
    
66 -
    
38123    
TRENTO",0461-923464,nan,trento.clarina.presidente@fpsm.tn.it,nan,trento.clarina.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento La Clarina
            
",/Scuole/Scuola-dell-infanzia-di-Trento-La-Clarina2,99
IVANA LEONARDELLI,ANDREA VALERIO,nan,Scuola dell'infanzia,nan,nan,"Via per Cognola,
    
43 -
    
38122    
TRENTO",+39 0461 260977,+39 0461 983903,cognola.segretario@fpsm.tn.it,nan,trento.san.dona.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Trento San Donà ""B. Kofler""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-San-Dona-B.-Kofler2,100
UTE PANCHER,nan,nan,Scuola dell'infanzia,nan,nan,"Via Marconi - Tuenno,
    
2 -
    
38019    
VILLE D'ANAUNIA",0463-451238,nan,tuenno.presidente@fpsm.tn.it,nan,tuenno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Tuenno
            
",/Scuole/Scuola-dell-infanzia-di-Tuenno2,101
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Sega,
    
5 -
    
38066    
RIVA DEL GARDA",0464-521350,nan,varone.presidente@fpsm.tn.it,nan,varone.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Varone
            
",/Scuole/Scuola-dell-infanzia-di-Varone2,102
ROBERTA BERTOLAS,nan,nan,Scuola dell'infanzia,nan,nan,"Via di S Pietro,
    
26 -
    
38029    
VERMIGLIO",0463-758141,nan,vermiglio.presidente@fpsm.tn.it,nan,vermiglio.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vermiglio
            
",/Scuole/Scuola-dell-infanzia-di-Vermiglio2,103
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Dante - Vezzano,
    
24 -
    
38070    
VALLELAGHI",0461-864918,nan,vezzano.presidente@fpsm.tn.it,nan,vezzano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vezzano
            
",/Scuole/Scuola-dell-infanzia-di-Vezzano2,104
GIANNA ANGELI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Scuola Materna,
    
1 -
    
38073    
CAVEDINE",0461-566061,nan,vigo.cavedine.presidente@fpsm.tn.it,nan,vigo.cavedine.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vigo Cavedine
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Cavedine2,105
CARMEN FATTORI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Madonna Dei Prati,
    
3 -
    
38121    
TRENTO",0461-448252,nan,vigo.meano.contabile@fpsm.tn.it,nan,vigo.meano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vigo Cortesano
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Cortesano2,106
LORENZO SANTORUM,nan,nan,Scuola dell'infanzia,nan,nan,"Frazione Vigo Lomaso - Lomaso,
    
1 -
    
38070    
COMANO TERME",0465-701249,nan,vigo.lomaso.presidente@fpsm.tn.it,nan,vigo.lomaso.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vigo Lomaso
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Lomaso2,107
CARMEN FATTORI,nan,nan,Scuola dell'infanzia,nan,nan,"Via del Loghét,
    
69 -
    
38121    
TRENTO",0461-990050,nan,ghiaie.segretario@fpsm.tn.it,nan,ghiaie.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ghiaie di Gardolo
            
",/Scuole/Scuola-dell-infanzia-di-Ghiaie-di-Gardolo2,108
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via Nazario Sauro,
    
25 -
    
38055    
GRIGNO",0461-765333,nan,grigno.presidente@fpsm.tn.it,nan,grigno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Grigno
            
",/Scuole/Scuola-dell-infanzia-di-Grigno2,109
MARIANGELA SIMONCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza delle Nogare,
    
2 -
    
38057    
PERGINE VALSUGANA",0461-532285,nan,ischia.presidente@fpsm.tn.it,nan,ischia.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ischia di Pergine
            
",/Scuole/Scuola-dell-infanzia-di-Ischia-di-Pergine2,110
PAMELA TOMASELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Rocco,
    
14 -
    
38040    
LONA-LASES",0461-697101,nan,lona.presidente@fpsm.tn.it,nan,lona.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Lona
            
",/Scuole/Scuola-dell-infanzia-di-Lona2,111
ALESSANDRA POMILIO,GIORGIO FERRARI,nan,Scuola dell'infanzia,nan,nan,"Via Serafini - Madonna di Campiglio,
    
13 -
    
38070    
TRE VILLE",0465-442779,+39 0465 442779,madonna.campiglio.segretario@fpsm.tn.it,nan,madonna.campiglio.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Madonna di Campiglio
            
",/Scuole/Scuola-dell-infanzia-di-Madonna-di-Campiglio2,112
MARIANGELA SIMONCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via D Oltrefersina,
    
54 -
    
38057    
PERGINE VALSUGANA",0461-552109,nan,madrano.segretario@fpsm.tn.it,nan,madrano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Madrano
            
",/Scuole/Scuola-dell-infanzia-di-Madrano2,113
ROBERTA BERTOLAS,nan,nan,Scuola dell'infanzia,nan,nan,"Via Don Rauzi,
    
6 -
    
38027    
MALE'",0463-901925,nan,male.presidente@fpsm.tn.it,nan,male.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Malè
            
",/Scuole/Scuola-dell-infanzia-di-Male2,114
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza S Margherita,
    
2 -
    
38050    
RONCEGNO TERME",0461-764505,nan,marter.segretario@fpsm.tn.it,nan,marter.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Marter
            
",/Scuole/Scuola-dell-infanzia-di-Marter2,115
CARMEN FATTORI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Sabbionare,
    
3 -
    
38121    
TRENTO",0461-820233,nan,martignano.segretario@fpsm.tn.it,nan,martignano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Martignano ""D. Leone Serafini""
            
",/Scuole/Scuola-dell-infanzia-di-Martignano-D.-Leone-Serafini2,116
GIANNA ANGELI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Maffei - San Martino,
    
2 -
    
38062    
ARCO",0464-517719,nan,massone.presidente@fpsm.tn.it,nan,massone.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Massone
            
",/Scuole/Scuola-dell-infanzia-di-Massone2,117
ILARIA MANCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Don Luigi Borghesi,
    
35 -
    
38023    
CLES",0463-421247,nan,mechel.presidente@fpsm.tn.it,nan,mechel.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mechel
            
",/Scuole/Scuola-dell-infanzia-di-Mechel2,118
DANIELA DALCASTAGNE',nan,nan,Scuola dell'infanzia,nan,nan,"Via IV Novembre,
    
16 -
    
38050    
MEZZANO",0439-67027,nan,mezzano.contabile@fpsm.tn.it,nan,mezzano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mezzano
            
",/Scuole/Scuola-dell-infanzia-di-Mezzano2,119
ELENA RICCI,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Giovanni Bosco,
    
4 -
    
38016    
MEZZOCORONA",0461-603933,nan,mezzocorona.presidente@fpsm.tn.it,nan,mezzocorona.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mezzocorona
            
",/Scuole/Scuola-dell-infanzia-di-Mezzocorona2,120
ELENA RICCI,nan,nan,Scuola dell'infanzia,nan,nan,"Corso del Popolo,
    
34/B -
    
38017    
MEZZOLOMBARDO",0461-601324,nan,mezzolombardo.presidente@fpsm.tn.it,nan,mezzolombardo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mezzolombardo
            
",/Scuole/Scuola-dell-infanzia-di-Mezzolombardo2,121
SARA DE ZOLT,nan,nan,Scuola dell'infanzia,nan,nan,"Strada don Giovanni Jori,
    
10 -
    
38035    
MOENA - MOENA",0462-573277,nan,moena.presidente@fpsm.tn.it,nan,moena.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Moena
            
",/Scuole/Scuola-dell-infanzia-di-Moena2,122
LUISA FONTANARI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Sartori - Molina di Ledro,
    
25 -
    
38067    
LEDRO",0464-508477,nan,molina.ledro.presidente@fpsm.tn.it,nan,molina.ledro.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Molina di Ledro
            
",/Scuole/Scuola-dell-infanzia-di-Molina-di-Ledro2,123
UTE PANCHER,nan,nan,Scuola dell'infanzia,nan,nan,"Via Della Pausa - Mollaro,
    
1 -
    
38012    
PREDAIA",0463-469224,nan,mollaro.contabile@fpsm.tn.it,nan,mollaro.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mollaro
            
",/Scuole/Scuola-dell-infanzia-di-Mollaro2,124
ELENA RICCI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza S Carlo,
    
20 -
    
38018    
MOLVENO",0461-586969,nan,molveno.presidente@fpsm.tn.it,nan,molveno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Molveno
            
",/Scuole/Scuola-dell-infanzia-di-Molveno2,125
PAMELA TOMASELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Capitano Santuari,
    
1 -
    
38048    
SOVER",0461-698351,nan,sover.presidente@fpsm.tn.it,nan,sover.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Montesover
            
",/Scuole/Scuola-dell-infanzia-di-Montesover2,126
SILVANO MEDVES,nan,nan,Scuola dell'infanzia,nan,nan,"Via Scuole,
    
3 -
    
38065    
MORI",0464-918156,nan,mori.segretario@fpsm.tn.it,nan,mori.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Mori
            
",/Scuole/Scuola-dell-infanzia-di-Mori2,127
LUISA FONTANARI,MORENO MURANO,nan,Scuola dell'infanzia,nan,nan,"Localita Tezze - Nago,
     -
    
38069    
NAGO-TORBOLE",0464-506097,nan,nago.segretario@fpsm.tn.it,nan,nago.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Nago
            
",/Scuole/Scuola-dell-infanzia-di-Nago2,128
SILVANO MEDVES,nan,nan,Scuola dell'infanzia,nan,nan,"Via Del Car,
    
40 -
    
38060    
RONZO-CHIENIS",0464-802944,nan,ronzo.chienis.presidente@fpsm.tn.it,nan,ronzo.chienis.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Ronzo-Chienis
            
",/Scuole/Scuola-dell-infanzia-di-Ronzo-Chienis2,129
nan,GIORGIO RELLA,nan,Scuola dell'infanzia,nan,nan,"Via S Maria,
    
58 -
    
38068    
ROVERETO",0464-420061,nan,asilovannetti@pec.it,nan,asilovannetti@gmail.com,nan,nan,1,"

                
Scuola dell'infanzia di Rovereto  ""Clementino Vannetti""
            
",/Scuole/Scuola-dell-infanzia-di-Rovereto-Clementino-Vannetti2,130
ROBERTA MEDEGHINI,nan,nan,Scuola dell'infanzia,nan,nan,"Corso Rosmini,
    
3 -
    
38068    
ROVERETO",0464-421541,nan,rovereto.rosmini.presidente@fpsm.tn.it,nan,rovereto.rosmini.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Rovereto ""Rosmini""
            
",/Scuole/Scuola-dell-infanzia-di-Rovereto-Rosmini2,131
LORENZO SANTORUM,nan,nan,Scuola dell'infanzia,nan,nan,"Frazione Santa Croce di Bleggio Inferiore,
    
7 -
    
38070    
COMANO TERME",0465-779900,nan,s.croce.presidente@fpsm.tn.it,nan,s.croce.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di S. Croce Bleggio
            
",/Scuole/Scuola-dell-infanzia-di-S.-Croce-Bleggio2,132
LORENZO SANTORUM,nan,nan,Scuola dell'infanzia,nan,nan,"Strada del Toat - San Lorenzo,
    
4 -
    
38078    
SAN LORENZO DORSINO",0465-734005,nan,san.lorenzo.banale.segretario@fpsm.tn.it,nan,san.lorenzo.banale.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di S. Lorenzo in Banale
            
",/Scuole/Scuola-dell-infanzia-di-S.-Lorenzo-in-Banale2,133
FRANCESCA VARESCHI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Gazzoletti - Santa Margherita,
    
35 -
    
38061    
ALA",0464-696494,nan,s.margherita.presidente@fpsm.tn.it,nan,s.margherita.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di S. Margherita di Ala
            
",/Scuole/Scuola-dell-infanzia-di-S.-Margherita-di-Ala2,134
