coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto
LUISA FONTANARI,,,Scuola dell'infanzia,,,"Via S Alessandro,
    
10 -
    
38066    
RIVA DEL GARDA",0464-554051,,s.alessandro.presidente@fpsm.tn.it,,s.alessandro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Riva del Garda  ""S. Alessandro""
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Via Baldessari,
    
15 -
    
38050    
RONCEGNO TERME",0461-764199,,roncegno.presidente@fpsm.tn.it,,roncegno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Roncegno
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Via Marchi,
    
14 -
    
38050    
RONCHI VALSUGANA",0461-773197,,ronchi.valsugana.presidente@fpsm.tn.it,,ronchi.valsugana.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ronchi Valsugana
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via Edison - Taio,
    
3 -
    
38012    
PREDAIA",0463-468269,,taio.presidente@fpsm.tn.it,,taio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Taio
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Via Paradiso,
    
1 -
    
38050    
TELVE",0461-766315,,telve.presidente@fpsm.tn.it,,telve.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Telve
            
"
LUISA FONTANARI,,,Scuola dell'infanzia,,,"Via Brocchetti,
    
53 -
    
38060    
TENNO",0464-503034,,tenno.presidente@fpsm.tn.it,,tenno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tenno
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via Marconi,
    
8/A -
    
38055    
GRIGNO",0461-769192,,tezze.presidente@fpsm.tn.it,,tezze.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tezze Valsugana
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via Fuganti - Tonadico,
    
8 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-762062,,tonadico.segretario@fpsm.tn.it,,tonadico.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tonadico
            
"
LUISA FONTANARI,,,Scuola dell'infanzia,,,"Via Don Davide Gioppi,
    
72 -
    
38069    
NAGO-TORBOLE",0464-505159,,torbole.presidente@fpsm.tn.it,,torbole.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Torbole
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Via Della Fontana,
    
15 -
    
38050    
TORCEGNO",0461-760796,,torcegno.presidente@fpsm.tn.it,,torcegno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Torcegno
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Piazza Municipio - Transacqua,
    
11 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-62313,,transacqua.presidente@fpsm.tn.it,,transacqua.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Transacqua
            
"
SANDRA CIAPPI,,,Scuola dell'infanzia,,,"Via Asilo Pedrotti,
    
2 -
    
38122    
TRENTO",0461-914039,,trento.pedrotti.presidente@fpsm.tn.it,,trento.pedrotti.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  ""Pedrotti""
            
"
IVANA LEONARDELLI,,,Scuola dell'infanzia,,,"Via Dei Paradisi,
    
4 -
    
38122    
TRENTO",0461-1482248,,trento.canossiane.segretario@fpsm.tn.it,,trento.canossiane.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  Canossiane
            
"
SANDRA CIAPPI,,,Scuola dell'infanzia,,,"Viale Dei Tigli,
    
9/1 -
    
38123    
TRENTO",0461-924555,,trento.s.bartolomeo.segretario@fpsm.tn.it,,trento.s.bartolomeo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  S. Bartolomeo
            
"
IVANA LEONARDELLI,ANDREA VALERIO,,Scuola dell'infanzia,,,"Via Kofler,
    
10 -
    
38121    
TRENTO",+39 0461 235069,+39 0461 983903,cognola.segretario@fpsm.tn.it,,cognola.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento Cognola  ""B. Kofler""
            
"
SANDRA CIAPPI,,,Scuola dell'infanzia,,,"Via Einaudi,
    
66 -
    
38123    
TRENTO",0461-923464,,trento.clarina.presidente@fpsm.tn.it,,trento.clarina.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento La Clarina
            
"
IVANA LEONARDELLI,ANDREA VALERIO,,Scuola dell'infanzia,,,"Via per Cognola,
    
43 -
    
38122    
TRENTO",+39 0461 260977,+39 0461 983903,cognola.segretario@fpsm.tn.it,,trento.san.dona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento San Donà ""B. Kofler""
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via Marconi - Tuenno,
    
2 -
    
38019    
VILLE D'ANAUNIA",0463-451238,,tuenno.presidente@fpsm.tn.it,,tuenno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tuenno
            
"
LUISA FONTANARI,,,Scuola dell'infanzia,,,"Via Sega,
    
5 -
    
38066    
RIVA DEL GARDA",0464-521350,,varone.presidente@fpsm.tn.it,,varone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Varone
            
"
ROBERTA BERTOLAS,,,Scuola dell'infanzia,,,"Via di S Pietro,
    
26 -
    
38029    
VERMIGLIO",0463-758141,,vermiglio.presidente@fpsm.tn.it,,vermiglio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vermiglio
            
"
SANDRA CIAPPI,,,Scuola dell'infanzia,,,"Via Dante - Vezzano,
    
24 -
    
38070    
VALLELAGHI",0461-864918,,vezzano.presidente@fpsm.tn.it,,vezzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vezzano
            
"
GIANNA ANGELI,,,Scuola dell'infanzia,,,"Via Scuola Materna,
    
1 -
    
38073    
CAVEDINE",0461-566061,,vigo.cavedine.presidente@fpsm.tn.it,,vigo.cavedine.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Cavedine
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via Madonna Dei Prati,
    
3 -
    
38121    
TRENTO",0461-448252,,vigo.meano.contabile@fpsm.tn.it,,vigo.meano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Cortesano
            
"
LORENZO SANTORUM,,,Scuola dell'infanzia,,,"Frazione Vigo Lomaso - Lomaso,
    
1 -
    
38070    
COMANO TERME",0465-701249,,vigo.lomaso.presidente@fpsm.tn.it,,vigo.lomaso.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Lomaso
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via del Loghét,
    
69 -
    
38121    
TRENTO",0461-990050,,ghiaie.segretario@fpsm.tn.it,,ghiaie.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ghiaie di Gardolo
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via Nazario Sauro,
    
25 -
    
38055    
GRIGNO",0461-765333,,grigno.presidente@fpsm.tn.it,,grigno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Grigno
            
"
MARIANGELA SIMONCINI,,,Scuola dell'infanzia,,,"Piazza delle Nogare,
    
2 -
    
38057    
PERGINE VALSUGANA",0461-532285,,ischia.presidente@fpsm.tn.it,,ischia.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ischia di Pergine
            
"
PAMELA TOMASELLI,,,Scuola dell'infanzia,,,"Via S Rocco,
    
14 -
    
38040    
LONA-LASES",0461-697101,,lona.presidente@fpsm.tn.it,,lona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Lona
            
"
ALESSANDRA POMILIO,GIORGIO FERRARI,,Scuola dell'infanzia,,,"Via Serafini - Madonna di Campiglio,
    
13 -
    
38070    
TRE VILLE",0465-442779,+39 0465 442779,madonna.campiglio.segretario@fpsm.tn.it,,madonna.campiglio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Madonna di Campiglio
            
"
MARIANGELA SIMONCINI,,,Scuola dell'infanzia,,,"Via D Oltrefersina,
    
54 -
    
38057    
PERGINE VALSUGANA",0461-552109,,madrano.segretario@fpsm.tn.it,,madrano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Madrano
            
"
ROBERTA BERTOLAS,,,Scuola dell'infanzia,,,"Via Don Rauzi,
    
6 -
    
38027    
MALE'",0463-901925,,male.presidente@fpsm.tn.it,,male.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Malè
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Piazza S Margherita,
    
2 -
    
38050    
RONCEGNO TERME",0461-764505,,marter.segretario@fpsm.tn.it,,marter.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Marter
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via Sabbionare,
    
3 -
    
38121    
TRENTO",0461-820233,,martignano.segretario@fpsm.tn.it,,martignano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Martignano ""D. Leone Serafini""
            
"
GIANNA ANGELI,,,Scuola dell'infanzia,,,"Via Maffei - San Martino,
    
2 -
    
38062    
ARCO",0464-517719,,massone.presidente@fpsm.tn.it,,massone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Massone
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via Don Luigi Borghesi,
    
35 -
    
38023    
CLES",0463-421247,,mechel.presidente@fpsm.tn.it,,mechel.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mechel
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via IV Novembre,
    
16 -
    
38050    
MEZZANO",0439-67027,,mezzano.contabile@fpsm.tn.it,,mezzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzano
            
"
ELENA RICCI,,,Scuola dell'infanzia,,,"Via S Giovanni Bosco,
    
4 -
    
38016    
MEZZOCORONA",0461-603933,,mezzocorona.presidente@fpsm.tn.it,,mezzocorona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzocorona
            
"
ELENA RICCI,,,Scuola dell'infanzia,,,"Corso del Popolo,
    
34/B -
    
38017    
MEZZOLOMBARDO",0461-601324,,mezzolombardo.presidente@fpsm.tn.it,,mezzolombardo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzolombardo
            
"
SARA DE ZOLT,,,Scuola dell'infanzia,,,"Strada don Giovanni Jori,
    
10 -
    
38035    
MOENA - MOENA",0462-573277,,moena.presidente@fpsm.tn.it,,moena.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Moena
            
"
LUISA FONTANARI,,,Scuola dell'infanzia,,,"Via Sartori - Molina di Ledro,
    
25 -
    
38067    
LEDRO",0464-508477,,molina.ledro.presidente@fpsm.tn.it,,molina.ledro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Molina di Ledro
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via Della Pausa - Mollaro,
    
1 -
    
38012    
PREDAIA",0463-469224,,mollaro.contabile@fpsm.tn.it,,mollaro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mollaro
            
"
ELENA RICCI,,,Scuola dell'infanzia,,,"Piazza S Carlo,
    
20 -
    
38018    
MOLVENO",0461-586969,,molveno.presidente@fpsm.tn.it,,molveno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Molveno
            
"
PAMELA TOMASELLI,,,Scuola dell'infanzia,,,"Via Capitano Santuari,
    
1 -
    
38048    
SOVER",0461-698351,,sover.presidente@fpsm.tn.it,,sover.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Montesover
            
"
SILVANO MEDVES,,,Scuola dell'infanzia,,,"Via Scuole,
    
3 -
    
38065    
MORI",0464-918156,,mori.segretario@fpsm.tn.it,,mori.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mori
            
"
LUISA FONTANARI,MORENO MURANO,,Scuola dell'infanzia,,,"Localita Tezze - Nago,
     -
    
38069    
NAGO-TORBOLE",0464-506097,,nago.segretario@fpsm.tn.it,,nago.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Nago
            
"
SILVANO MEDVES,,,Scuola dell'infanzia,,,"Via Del Car,
    
40 -
    
38060    
RONZO-CHIENIS",0464-802944,,ronzo.chienis.presidente@fpsm.tn.it,,ronzo.chienis.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ronzo-Chienis
            
"
,GIORGIO RELLA,,Scuola dell'infanzia,,,"Via S Maria,
    
58 -
    
38068    
ROVERETO",0464-420061,,asilovannetti@pec.it,,asilovannetti@gmail.com,,,1,"

                
Scuola dell'infanzia di Rovereto  ""Clementino Vannetti""
            
"
ROBERTA MEDEGHINI,,,Scuola dell'infanzia,,,"Corso Rosmini,
    
3 -
    
38068    
ROVERETO",0464-421541,,rovereto.rosmini.presidente@fpsm.tn.it,,rovereto.rosmini.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Rovereto ""Rosmini""
            
"
LORENZO SANTORUM,,,Scuola dell'infanzia,,,"Frazione Santa Croce di Bleggio Inferiore,
    
7 -
    
38070    
COMANO TERME",0465-779900,,s.croce.presidente@fpsm.tn.it,,s.croce.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Croce Bleggio
            
"
LORENZO SANTORUM,,,Scuola dell'infanzia,,,"Strada del Toat - San Lorenzo,
    
4 -
    
38078    
SAN LORENZO DORSINO",0465-734005,,san.lorenzo.banale.segretario@fpsm.tn.it,,san.lorenzo.banale.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Lorenzo in Banale
            
"
FRANCESCA VARESCHI,,,Scuola dell'infanzia,,,"Via Gazzoletti - Santa Margherita,
    
35 -
    
38061    
ALA",0464-696494,,s.margherita.presidente@fpsm.tn.it,,s.margherita.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Margherita di Ala
            
"
FRANCESCA VARESCHI,,,Scuola dell'infanzia,,,"Piazza Conciliazione,
    
3/B -
    
38063    
AVIO",0464-683225,,sabbionara.presidente@fpsm.tn.it,,sabbionara.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sabbionara
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via Laghetto - San Martino Di Castrozza,
    
30 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-768666,,s.martino.castrozza.presidente@fpsm.tn.it,,s.martino.castrozza.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di San Martino di C.
            
"
GIANNA ANGELI,,,Scuola dell'infanzia,,,"Via Caffaro - Sarche - Calavino,
    
6 -
    
38076    
MADRUZZO",0461-564028,,sarche.presidente@fpsm.tn.it,,sarche.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sarche
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Via Visintainer,
    
15 -
    
38050    
SCURELLE",0461-762268,,scurelle.presidente@fpsm.tn.it,,scurelle.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Scurelle
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via Sonora - Segno - Taio,
    
18 -
    
38012    
PREDAIA",0463-468064,,segno.presidente@fpsm.tn.it,,segno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Segno
            
"
PAMELA TOMASELLI,,,Scuola dell'infanzia,,,"Frazione Stedro,
    
80 -
    
38047    
SEGONZANO",327-3311981,,segonzano.presidente@fpsm.tn.it,,segonzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Segonzano
            
"
FRANCESCA VARESCHI,,,Scuola dell'infanzia,,,"Via Ingenger Tomasi - Serravalle,
    
5 -
    
38061    
ALA",0464-696304,,serravalle.presidente@fpsm.tn.it,,serravalle.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Serravalle
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Via Asilo - Siror,
    
1 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-62790,,siror.presidente@fpsm.tn.it,,siror.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Siror
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via Torre - Smarano,
    
6 -
    
38012    
PREDAIA",0463-536702,,smarano.presidente@fpsm.tn.it,,smarano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Smarano
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via Canelli - Sopramonte,
    
5 -
    
38123    
TRENTO",0461-867021,,sopramonte.presidente@fpsm.tn.it,,sopramonte.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sopramonte
            
"
ALESSANDRA POMILIO,,,Scuola dell'infanzia,,,"Via S Vigilio,
    
5 -
    
38088    
SPIAZZO",0465-801326,,spiazzo.rendena.contabile@fpsm.tn.it,,spiazzo.rendena.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Spiazzo Rendena
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via dell Asilo,
    
2 -
    
38010    
SPORMAGGIORE",0461-653390,,spormaggiore.contabile@fpsm.tn.it,,spormaggiore.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Spormaggiore
            
"
LORENZO SANTORUM,,,Scuola dell'infanzia,,,"Piazza Dante,
    
15 -
    
38070    
STENICO",0465-771019,,stenico.presidente@fpsm.tn.it,,stenico.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Stenico
            
"
ALESSANDRA POMILIO,,,Scuola dell'infanzia,,,"Via S Floriano,
    
22 -
    
38089    
STORO",0465-296084,,storo.presidente@fpsm.tn.it,,storo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Storo
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Piazza IV Novembre - Strigno,
    
11 -
    
38059    
CASTEL IVANO",0461-762327,,strigno.presidente@fpsm.tn.it,,strigno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Strigno
            
"
MARIANGELA SIMONCINI,,,Scuola dell'infanzia,,,"Via Dell Asilo,
    
5 -
    
38057    
PERGINE VALSUGANA",0461-538471,,susa.presidente@fpsm.tn.it,,susa.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Susà
            
"
ALESSANDRA POMILIO,,,Scuola dell'infanzia,,,"Viale Trento,    
4 -  
38080    
CARISOLO",0465-501433,,carisolo.presidente@fpsm.tn.it,,carisolo.segretario@fpsm.tn.it,,,1,"Scuola dell'infanzia di Carisolo"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via della Pontara - Casez,
    
10 -
    
38010    
SANZENO",0463-434219,,casez.presidente@fpsm.tn.it,,casez.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Casez
            
"
ROBERTA MEDEGHINI,,,Scuola dell'infanzia,,,"Via Caduti,
    
1 -
    
38060    
VILLA LAGARINA",0464-801242,,castellano.presidente@fpsm.tn.it,,castellano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Castellano
            
"
TIZIANA CEOL,,,Scuola dell'infanzia,,,"Via Latemar,
    
2 -
    
38030    
CASTELLO-MOLINA DI FIEMME",0462-341153,,castello.fiemme.segretario@fpsm.tn.it,,castello.fiemme.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Castello Di Fiemme
            
"
GIANNA ANGELI,,,Scuola dell'infanzia,,,"Via IV Novembre,
    
19 -
    
38073    
CAVEDINE",0461-568548,,cavedine.presidente@fpsm.tn.it,,cavedine.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cavedine
            
"
PAMELA TOMASELLI,,,Scuola dell'infanzia,,,"Piazza Zanotelli - Cembra,
    
1 -
    
38034    
CEMBRA LISIGNAGO",0461-680173,,cembra.presidente@fpsm.tn.it,,cembra.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cembra
            
"
FRANCESCA VARESCHI,,,Scuola dell'infanzia,,,"Via Canestrini - Chizzola,
    
1 -
    
38061    
ALA",0464-696397,,chizzola.presidente@fpsm.tn.it,,chizzola.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Chizzola
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via Mattioli,
    
13 -
    
38023    
CLES",0463-625164,,cles.presidente@fpsm.tn.it,,cles.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cles
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via di S Stefano,
    
2/A -
    
38028    
NOVELLA",0463-1980632,,cloz.brez.presidente@fpsm.tn.it,,cloz.brez.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cloz e Brez
            
"
ALESSANDRA POMILIO,,,Scuola dell'infanzia,,,"Via Roma - Condino,
    
37 -
    
38083    
BORGO CHIESE",0465-621009,,condino.presidente@fpsm.tn.it,,condino.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Condino
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via delle antiche fontane - Coredo,
    
20 -
    
38012    
PREDAIA",0463-536416,,coredo.segretario@fpsm.tn.it,,coredo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Coredo
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via Bresadola,
    
6 -
    
38121    
TRENTO",0461-823359,,trento.cristore.segretario@fpsm.tn.it,,trento.cristore.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cristo Re -Trento
            
"
SILVANO MEDVES,,,Scuola dell'infanzia,,,"Via S Biagio,
    
30 -
    
38060    
BRENTONICO",0464-395693,,crosano.segretario@fpsm.tn.it,,crosano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Crosano
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Via Garibaldi,
    
33 -
    
38010    
DAMBEL",0463-437181,,dambel.presidente@fpsm.tn.it,,dambel.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Dambel
            
"
ROBERTA BERTOLAS,,,Scuola dell'infanzia,,,"Via Alla Chiesa - Dimaro,
    
26 -
    
38025    
DIMARO FOLGARIDA",0463-974301,,dimaro.contabile@fpsm.tn.it,,dimaro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Dimaro
            
"
PAMELA TOMASELLI,,,Scuola dell'infanzia,,,"Via Perlaia - Faver,
    
17 -
    
38030    
ALTAVALLE",+39 328 7310914,,faver.presidente@fpsm.tn.it,,faver.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Faver
            
"
LORENZO SANTORUM,,,Scuola dell'infanzia,,,"Piazza S Sebastiano,
    
24 -
    
38075    
FIAVE'",0465-735129,,fiave.contabile@fpsm.tn.it,,fiave.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Fiavè
            
"
DANIELA DALCASTAGNE',,,Scuola dell'infanzia,,,"Viale Marconi - Pieve,
    
1 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-762196,0439764911,fiera.presidente@fpsm.tn.it,,fiera.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Fiera di Primiero
            
"
ILARIA MANCINI,,,Scuola dell'infanzia,,,"Piazza Don Stefenelli - Fondo,
    
5 -
    
38020    
BORGO D'ANAUNIA",0463-831254,,fondo.contabile@fpsm.tn.it,,fondo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Fondo
            
"
MARIANGELA SIMONCINI,,,Scuola dell'infanzia,,,"Via Del Borgolet,
    
16 -
    
38040    
FORNACE",0461-849351,,fornace.presidente@fpsm.tn.it,,fornace.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Fornace
            
"
CARMEN FATTORI,,,Scuola dell'infanzia,,,"Via S Anna,
    
9 -
    
38121    
TRENTO",0461-990296,,gardolo.segretario@fpsm.tn.it,,gardolo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Gardolo
            
"
,,,Istituzione scolastica e formativa,CHIARA GHETTA,,"Corso Buonarroti,
    
50 -
    
38122    
TRENTO",+39 0461 236214,+39 0461 230583,ic.trento6@pec.provincia.tn.it,dir.ic.tn6@scuole.provincia.tn.it,segr.ic.tn6@scuole.provincia.tn.it,http://www.ictrento6.it,TNIC85800A,7,"

                
ISTITUTO COMPRENSIVO TRENTO 6
            
"
,,,Istituzione scolastica e formativa,GIUSEPPE PRIGIOTTI,,"Viale Della Pace,
    
10 -
    
38086    
PINZOLO",+39 0465 501139,+39 0465 512119,ic.valrendena@pec.provincia.tn.it,dir.ic.valrendena@scuole.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,http://www.icvalrendena.it,TNIC83400T,10,"

                
ISTITUTO COMPRENSIVO VAL RENDENA
            
"
,,,Istituzione scolastica e formativa,SARA TURRINI,,"Via Roma - Vezzano,
    
3 -
    
38070    
VALLELAGHI",+39 0461 864026,+39 0461 340648,ic.valledeilaghi@pec.provincia.tn.it,dir.ic.valledeilaghi@scuole.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,http://www.icvalledeilaghidro.it,TNIC84400C,11,"

                
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO
            
"
,,,Istituzione scolastica e formativa,PAOLA MARONI,,"Via Falcone e Borsellino - Bezzecca,
    
2 -
    
38067    
LEDRO",+39 0464 592800,+39 0464 592819,ic.vallediledro@pec.provincia.tn.it,dir.ic.bezzecca@scuole.provincia.tn.it,segr.ic.bezzecca@scuole.provincia.tn.it,http://www.icvallediledro.it,TNIC80600N,4,"

                
ISTITUTO COMPRENSIVO VALLE DI LEDRO
            
"
,,,Istituzione scolastica e formativa,GABRIELLA VITALE,,"Via Garibaldi - Vigolo Vattaro,
    
8 -
    
38049    
ALTOPIANO DELLA VIGOLANA",+39 0461 848878,+39 0461 845217,ic.vigolovattaro@pec.provincia.tn.it,dir.vigolovattaro@scuole.provincia.tn.it,segr.vigolovattaro@scuole.provincia.tn.it,http://www.icvigolovattaro.it,TNIC803006,4,"

                
ISTITUTO COMPRENSIVO VIGOLO VATTARO
            
"
,,,Istituzione scolastica e formativa,TIZIANA CHEMOTTI,,"Via Stockstadt Am Rhein,
    
3 -
    
38060    
VILLA LAGARINA",+39 0464 411312,+39 0464 411705,ic.villalagarina@pec.provincia.tn.it,dir.ic.villalagarina@scuole.provincia.tn.it,segr.ic.villalagarina@scuole.provincia.tn.it,http://www.icvillalagarina.it,TNIC846004,5,"

                
ISTITUTO COMPRENSIVO VILLA LAGARINA
            
"
