,tipo_instituto,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
74,Scuola dell'infanzia,"Via Fratelli Rizza',
    
14 -
    
38050    
PIEVE TESINO",0461-594733,,pieve.tesino.presidente@fpsm.tn.it,,pieve.tesino.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pieve Tesino
            
",/Scuole/Scuola-dell-infanzia-di-Pieve-Tesino2,74
75,Scuola dell'infanzia,"Via Fiera - Creto - Pieve di Bono,
    
9/B -
    
38085    
PIEVE DI BONO-PREZZO",0465-674083,,pieve.bono.presidente@fpsm.tn.it,,pieve.bono.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pieve di Bono
            
",/Scuole/Scuola-dell-infanzia-di-Pieve-di-Bono2,75
76,Scuola dell'infanzia,"Piazza Vittorio Veneto - Pilcante,
    
19 -
    
38061    
ALA",0464-672588,,pilcante.presidente@fpsm.tn.it,,pilcante.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pilcante
            
",/Scuole/Scuola-dell-infanzia-di-Pilcante2,76
77,Scuola dell'infanzia,"Via Al Sole,
    
43 -
    
38086    
PINZOLO",0465-501019,,pinzolo.presidente@fpsm.tn.it,,pinzolo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pinzolo
            
",/Scuole/Scuola-dell-infanzia-di-Pinzolo2,77
78,Scuola dell'infanzia,"Via S Giovanni Bosco - Ponte Arche - Bleggio Inferiore,
    
7 -
    
38070    
COMANO TERME",0465-702422,,ponte.arche.presidente@fpsm.tn.it,,ponte.arche.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ponte Arche
            
",/Scuole/Scuola-dell-infanzia-di-Ponte-Arche2,78
79,Scuola dell'infanzia,"Via Pante',
    
1 -
    
38123    
TRENTO",0461-810049,,povo.presidente@fpsm.tn.it,,povo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Povo
            
",/Scuole/Scuola-dell-infanzia-di-Povo2,79
80,Scuola dell'infanzia,"Frazione Vanza,
    
50 -
    
38068    
TRAMBILENO",0464-868074,,trambileno.presidente@fpsm.tn.it,,trambileno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pozza di Trambileno
            
",/Scuole/Scuola-dell-infanzia-di-Pozza-di-Trambileno2,80
81,Scuola dell'infanzia,"Via Pilati,
    
16 -
    
38015    
LAVIS",0461-240394,,pressano.presidente@fpsm.tn.it,,pressano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pressano
            
",/Scuole/Scuola-dell-infanzia-di-Pressano2,81
82,Scuola dell'infanzia,"Frazione Larido,
    
10 -
    
38071    
BLEGGIO SUPERIORE",0465-779575,,quadra.cavrasto.presidente@fpsm.tn.it,,quadra.cavrasto.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Quadra - Cavrasto
            
",/Scuole/Scuola-dell-infanzia-di-Quadra-Cavrasto2,82
83,Scuola dell'infanzia,"Largo Caduti delle Foibe,
    
2 -
    
38066    
RIVA DEL GARDA",0464-553578,,riva.rione.presidente@fpsm.tn.it,,riva.rione.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Riva ""Degasperi""
            
",/Scuole/Scuola-dell-infanzia-di-Riva-Degasperi2,83
84,Scuola dell'infanzia,"Via S Alessandro,
    
10 -
    
38066    
RIVA DEL GARDA",0464-554051,,s.alessandro.presidente@fpsm.tn.it,,s.alessandro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Riva del Garda  ""S. Alessandro""
            
",/Scuole/Scuola-dell-infanzia-di-Riva-del-Garda-S.-Alessandro2,84
85,Scuola dell'infanzia,"Via Baldessari,
    
15 -
    
38050    
RONCEGNO TERME",0461-764199,,roncegno.presidente@fpsm.tn.it,,roncegno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Roncegno
            
",/Scuole/Scuola-dell-infanzia-di-Roncegno2,85
86,Scuola dell'infanzia,"Via Marchi,
    
14 -
    
38050    
RONCHI VALSUGANA",0461-773197,,ronchi.valsugana.presidente@fpsm.tn.it,,ronchi.valsugana.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ronchi Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Ronchi-Valsugana2,86
87,Scuola dell'infanzia,"Via Edison - Taio,
    
3 -
    
38012    
PREDAIA",0463-468269,,taio.presidente@fpsm.tn.it,,taio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Taio
            
",/Scuole/Scuola-dell-infanzia-di-Taio2,87
88,Scuola dell'infanzia,"Via Paradiso,
    
1 -
    
38050    
TELVE",0461-766315,,telve.presidente@fpsm.tn.it,,telve.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Telve
            
",/Scuole/Scuola-dell-infanzia-di-Telve2,88
89,Scuola dell'infanzia,"Via Brocchetti,
    
53 -
    
38060    
TENNO",0464-503034,,tenno.presidente@fpsm.tn.it,,tenno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tenno
            
",/Scuole/Scuola-dell-infanzia-di-Tenno2,89
90,Scuola dell'infanzia,"Via Marconi,
    
8/A -
    
38055    
GRIGNO",0461-769192,,tezze.presidente@fpsm.tn.it,,tezze.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tezze Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Tezze-Valsugana2,90
91,Scuola dell'infanzia,"Via Fuganti - Tonadico,
    
8 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-762062,,tonadico.segretario@fpsm.tn.it,,tonadico.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tonadico
            
",/Scuole/Scuola-dell-infanzia-di-Tonadico2,91
92,Scuola dell'infanzia,"Via Don Davide Gioppi,
    
72 -
    
38069    
NAGO-TORBOLE",0464-505159,,torbole.presidente@fpsm.tn.it,,torbole.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Torbole
            
",/Scuole/Scuola-dell-infanzia-di-Torbole2,92
93,Scuola dell'infanzia,"Via Della Fontana,
    
15 -
    
38050    
TORCEGNO",0461-760796,,torcegno.presidente@fpsm.tn.it,,torcegno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Torcegno
            
",/Scuole/Scuola-dell-infanzia-di-Torcegno2,93
94,Scuola dell'infanzia,"Piazza Municipio - Transacqua,
    
11 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-62313,,transacqua.presidente@fpsm.tn.it,,transacqua.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Transacqua
            
",/Scuole/Scuola-dell-infanzia-di-Transacqua2,94
95,Scuola dell'infanzia,"Via Asilo Pedrotti,
    
2 -
    
38122    
TRENTO",0461-914039,,trento.pedrotti.presidente@fpsm.tn.it,,trento.pedrotti.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  ""Pedrotti""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Pedrotti2,95
96,Scuola dell'infanzia,"Via Dei Paradisi,
    
4 -
    
38122    
TRENTO",0461-1482248,,trento.canossiane.segretario@fpsm.tn.it,,trento.canossiane.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  Canossiane
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Canossiane2,96
97,Scuola dell'infanzia,"Viale Dei Tigli,
    
9/1 -
    
38123    
TRENTO",0461-924555,,trento.s.bartolomeo.segretario@fpsm.tn.it,,trento.s.bartolomeo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento  S. Bartolomeo
            
",/Scuole/Scuola-dell-infanzia-di-Trento-S.-Bartolomeo2,97
98,Scuola dell'infanzia,"Via Kofler,
    
10 -
    
38121    
TRENTO",+39 0461 235069,+39 0461 983903,cognola.segretario@fpsm.tn.it,,cognola.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento Cognola  ""B. Kofler""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-Cognola-B.-Kofler2,98
99,Scuola dell'infanzia,"Via Einaudi,
    
66 -
    
38123    
TRENTO",0461-923464,,trento.clarina.presidente@fpsm.tn.it,,trento.clarina.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento La Clarina
            
",/Scuole/Scuola-dell-infanzia-di-Trento-La-Clarina2,99
100,Scuola dell'infanzia,"Via per Cognola,
    
43 -
    
38122    
TRENTO",+39 0461 260977,+39 0461 983903,cognola.segretario@fpsm.tn.it,,trento.san.dona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Trento San Donà ""B. Kofler""
            
",/Scuole/Scuola-dell-infanzia-di-Trento-San-Dona-B.-Kofler2,100
101,Scuola dell'infanzia,"Via Marconi - Tuenno,
    
2 -
    
38019    
VILLE D'ANAUNIA",0463-451238,,tuenno.presidente@fpsm.tn.it,,tuenno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tuenno
            
",/Scuole/Scuola-dell-infanzia-di-Tuenno2,101
102,Scuola dell'infanzia,"Via Sega,
    
5 -
    
38066    
RIVA DEL GARDA",0464-521350,,varone.presidente@fpsm.tn.it,,varone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Varone
            
",/Scuole/Scuola-dell-infanzia-di-Varone2,102
103,Scuola dell'infanzia,"Via di S Pietro,
    
26 -
    
38029    
VERMIGLIO",0463-758141,,vermiglio.presidente@fpsm.tn.it,,vermiglio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vermiglio
            
",/Scuole/Scuola-dell-infanzia-di-Vermiglio2,103
104,Scuola dell'infanzia,"Via Dante - Vezzano,
    
24 -
    
38070    
VALLELAGHI",0461-864918,,vezzano.presidente@fpsm.tn.it,,vezzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vezzano
            
",/Scuole/Scuola-dell-infanzia-di-Vezzano2,104
105,Scuola dell'infanzia,"Via Scuola Materna,
    
1 -
    
38073    
CAVEDINE",0461-566061,,vigo.cavedine.presidente@fpsm.tn.it,,vigo.cavedine.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Cavedine
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Cavedine2,105
106,Scuola dell'infanzia,"Via Madonna Dei Prati,
    
3 -
    
38121    
TRENTO",0461-448252,,vigo.meano.contabile@fpsm.tn.it,,vigo.meano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Cortesano
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Cortesano2,106
107,Scuola dell'infanzia,"Frazione Vigo Lomaso - Lomaso,
    
1 -
    
38070    
COMANO TERME",0465-701249,,vigo.lomaso.presidente@fpsm.tn.it,,vigo.lomaso.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo Lomaso
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-Lomaso2,107
108,Scuola dell'infanzia,"Via del Loghét,
    
69 -
    
38121    
TRENTO",0461-990050,,ghiaie.segretario@fpsm.tn.it,,ghiaie.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ghiaie di Gardolo
            
",/Scuole/Scuola-dell-infanzia-di-Ghiaie-di-Gardolo2,108
109,Scuola dell'infanzia,"Via Nazario Sauro,
    
25 -
    
38055    
GRIGNO",0461-765333,,grigno.presidente@fpsm.tn.it,,grigno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Grigno
            
",/Scuole/Scuola-dell-infanzia-di-Grigno2,109
110,Scuola dell'infanzia,"Piazza delle Nogare,
    
2 -
    
38057    
PERGINE VALSUGANA",0461-532285,,ischia.presidente@fpsm.tn.it,,ischia.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ischia di Pergine
            
",/Scuole/Scuola-dell-infanzia-di-Ischia-di-Pergine2,110
111,Scuola dell'infanzia,"Via S Rocco,
    
14 -
    
38040    
LONA-LASES",0461-697101,,lona.presidente@fpsm.tn.it,,lona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Lona
            
",/Scuole/Scuola-dell-infanzia-di-Lona2,111
112,Scuola dell'infanzia,"Via Serafini - Madonna di Campiglio,
    
13 -
    
38070    
TRE VILLE",0465-442779,+39 0465 442779,madonna.campiglio.segretario@fpsm.tn.it,,madonna.campiglio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Madonna di Campiglio
            
",/Scuole/Scuola-dell-infanzia-di-Madonna-di-Campiglio2,112
113,Scuola dell'infanzia,"Via D Oltrefersina,
    
54 -
    
38057    
PERGINE VALSUGANA",0461-552109,,madrano.segretario@fpsm.tn.it,,madrano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Madrano
            
",/Scuole/Scuola-dell-infanzia-di-Madrano2,113
114,Scuola dell'infanzia,"Via Don Rauzi,
    
6 -
    
38027    
MALE'",0463-901925,,male.presidente@fpsm.tn.it,,male.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Malè
            
",/Scuole/Scuola-dell-infanzia-di-Male2,114
115,Scuola dell'infanzia,"Piazza S Margherita,
    
2 -
    
38050    
RONCEGNO TERME",0461-764505,,marter.segretario@fpsm.tn.it,,marter.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Marter
            
",/Scuole/Scuola-dell-infanzia-di-Marter2,115
116,Scuola dell'infanzia,"Via Sabbionare,
    
3 -
    
38121    
TRENTO",0461-820233,,martignano.segretario@fpsm.tn.it,,martignano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Martignano ""D. Leone Serafini""
            
",/Scuole/Scuola-dell-infanzia-di-Martignano-D.-Leone-Serafini2,116
117,Scuola dell'infanzia,"Via Maffei - San Martino,
    
2 -
    
38062    
ARCO",0464-517719,,massone.presidente@fpsm.tn.it,,massone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Massone
            
",/Scuole/Scuola-dell-infanzia-di-Massone2,117
118,Scuola dell'infanzia,"Via Don Luigi Borghesi,
    
35 -
    
38023    
CLES",0463-421247,,mechel.presidente@fpsm.tn.it,,mechel.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mechel
            
",/Scuole/Scuola-dell-infanzia-di-Mechel2,118
119,Scuola dell'infanzia,"Via IV Novembre,
    
16 -
    
38050    
MEZZANO",0439-67027,,mezzano.contabile@fpsm.tn.it,,mezzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzano
            
",/Scuole/Scuola-dell-infanzia-di-Mezzano2,119
120,Scuola dell'infanzia,"Via S Giovanni Bosco,
    
4 -
    
38016    
MEZZOCORONA",0461-603933,,mezzocorona.presidente@fpsm.tn.it,,mezzocorona.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzocorona
            
",/Scuole/Scuola-dell-infanzia-di-Mezzocorona2,120
121,Scuola dell'infanzia,"Corso del Popolo,
    
34/B -
    
38017    
MEZZOLOMBARDO",0461-601324,,mezzolombardo.presidente@fpsm.tn.it,,mezzolombardo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mezzolombardo
            
",/Scuole/Scuola-dell-infanzia-di-Mezzolombardo2,121
122,Scuola dell'infanzia,"Strada don Giovanni Jori,
    
10 -
    
38035    
MOENA - MOENA",0462-573277,,moena.presidente@fpsm.tn.it,,moena.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Moena
            
",/Scuole/Scuola-dell-infanzia-di-Moena2,122
123,Scuola dell'infanzia,"Via Sartori - Molina di Ledro,
    
25 -
    
38067    
LEDRO",0464-508477,,molina.ledro.presidente@fpsm.tn.it,,molina.ledro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Molina di Ledro
            
",/Scuole/Scuola-dell-infanzia-di-Molina-di-Ledro2,123
124,Scuola dell'infanzia,"Via Della Pausa - Mollaro,
    
1 -
    
38012    
PREDAIA",0463-469224,,mollaro.contabile@fpsm.tn.it,,mollaro.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mollaro
            
",/Scuole/Scuola-dell-infanzia-di-Mollaro2,124
125,Scuola dell'infanzia,"Piazza S Carlo,
    
20 -
    
38018    
MOLVENO",0461-586969,,molveno.presidente@fpsm.tn.it,,molveno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Molveno
            
",/Scuole/Scuola-dell-infanzia-di-Molveno2,125
126,Scuola dell'infanzia,"Via Capitano Santuari,
    
1 -
    
38048    
SOVER",0461-698351,,sover.presidente@fpsm.tn.it,,sover.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Montesover
            
",/Scuole/Scuola-dell-infanzia-di-Montesover2,126
127,Scuola dell'infanzia,"Via Scuole,
    
3 -
    
38065    
MORI",0464-918156,,mori.segretario@fpsm.tn.it,,mori.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Mori
            
",/Scuole/Scuola-dell-infanzia-di-Mori2,127
128,Scuola dell'infanzia,"Localita Tezze - Nago,
     -
    
38069    
NAGO-TORBOLE",0464-506097,,nago.segretario@fpsm.tn.it,,nago.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Nago
            
",/Scuole/Scuola-dell-infanzia-di-Nago2,128
129,Scuola dell'infanzia,"Via Del Car,
    
40 -
    
38060    
RONZO-CHIENIS",0464-802944,,ronzo.chienis.presidente@fpsm.tn.it,,ronzo.chienis.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ronzo-Chienis
            
",/Scuole/Scuola-dell-infanzia-di-Ronzo-Chienis2,129
130,Scuola dell'infanzia,"Via S Maria,
    
58 -
    
38068    
ROVERETO",0464-420061,,asilovannetti@pec.it,,asilovannetti@gmail.com,,,1,"

                
Scuola dell'infanzia di Rovereto  ""Clementino Vannetti""
            
",/Scuole/Scuola-dell-infanzia-di-Rovereto-Clementino-Vannetti2,130
131,Scuola dell'infanzia,"Corso Rosmini,
    
3 -
    
38068    
ROVERETO",0464-421541,,rovereto.rosmini.presidente@fpsm.tn.it,,rovereto.rosmini.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Rovereto ""Rosmini""
            
",/Scuole/Scuola-dell-infanzia-di-Rovereto-Rosmini2,131
132,Scuola dell'infanzia,"Frazione Santa Croce di Bleggio Inferiore,
    
7 -
    
38070    
COMANO TERME",0465-779900,,s.croce.presidente@fpsm.tn.it,,s.croce.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Croce Bleggio
            
",/Scuole/Scuola-dell-infanzia-di-S.-Croce-Bleggio2,132
133,Scuola dell'infanzia,"Strada del Toat - San Lorenzo,
    
4 -
    
38078    
SAN LORENZO DORSINO",0465-734005,,san.lorenzo.banale.segretario@fpsm.tn.it,,san.lorenzo.banale.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Lorenzo in Banale
            
",/Scuole/Scuola-dell-infanzia-di-S.-Lorenzo-in-Banale2,133
134,Scuola dell'infanzia,"Via Gazzoletti - Santa Margherita,
    
35 -
    
38061    
ALA",0464-696494,,s.margherita.presidente@fpsm.tn.it,,s.margherita.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di S. Margherita di Ala
            
",/Scuole/Scuola-dell-infanzia-di-S.-Margherita-di-Ala2,134
135,Scuola dell'infanzia,"Piazza Conciliazione,
    
3/B -
    
38063    
AVIO",0464-683225,,sabbionara.presidente@fpsm.tn.it,,sabbionara.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sabbionara
            
",/Scuole/Scuola-dell-infanzia-di-Sabbionara2,135
136,Scuola dell'infanzia,"Via Laghetto - San Martino Di Castrozza,
    
30 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-768666,,s.martino.castrozza.presidente@fpsm.tn.it,,s.martino.castrozza.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di San Martino di C.
            
",/Scuole/Scuola-dell-infanzia-di-San-Martino-di-C2,136
137,Scuola dell'infanzia,"Via Caffaro - Sarche - Calavino,
    
6 -
    
38076    
MADRUZZO",0461-564028,,sarche.presidente@fpsm.tn.it,,sarche.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sarche
            
",/Scuole/Scuola-dell-infanzia-di-Sarche2,137
138,Scuola dell'infanzia,"Via Visintainer,
    
15 -
    
38050    
SCURELLE",0461-762268,,scurelle.presidente@fpsm.tn.it,,scurelle.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Scurelle
            
",/Scuole/Scuola-dell-infanzia-di-Scurelle2,138
139,Scuola dell'infanzia,"Via Sonora - Segno - Taio,
    
18 -
    
38012    
PREDAIA",0463-468064,,segno.presidente@fpsm.tn.it,,segno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Segno
            
",/Scuole/Scuola-dell-infanzia-di-Segno2,139
140,Scuola dell'infanzia,"Frazione Stedro,
    
80 -
    
38047    
SEGONZANO",327-3311981,,segonzano.presidente@fpsm.tn.it,,segonzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Segonzano
            
",/Scuole/Scuola-dell-infanzia-di-Segonzano2,140
141,Scuola dell'infanzia,"Via Ingenger Tomasi - Serravalle,
    
5 -
    
38061    
ALA",0464-696304,,serravalle.presidente@fpsm.tn.it,,serravalle.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Serravalle
            
",/Scuole/Scuola-dell-infanzia-di-Serravalle2,141
142,Scuola dell'infanzia,"Via Asilo - Siror,
    
1 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",0439-62790,,siror.presidente@fpsm.tn.it,,siror.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Siror
            
",/Scuole/Scuola-dell-infanzia-di-Siror2,142
143,Scuola dell'infanzia,"Via Torre - Smarano,
    
6 -
    
38012    
PREDAIA",0463-536702,,smarano.presidente@fpsm.tn.it,,smarano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Smarano
            
",/Scuole/Scuola-dell-infanzia-di-Smarano2,143
144,Scuola dell'infanzia,"Via Canelli - Sopramonte,
    
5 -
    
38123    
TRENTO",0461-867021,,sopramonte.presidente@fpsm.tn.it,,sopramonte.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Sopramonte
            
",/Scuole/Scuola-dell-infanzia-di-Sopramonte2,144
145,Scuola dell'infanzia,"Via S Vigilio,
    
5 -
    
38088    
SPIAZZO",0465-801326,,spiazzo.rendena.contabile@fpsm.tn.it,,spiazzo.rendena.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Spiazzo Rendena
            
",/Scuole/Scuola-dell-infanzia-di-Spiazzo-Rendena2,145
146,Scuola dell'infanzia,"Via dell Asilo,
    
2 -
    
38010    
SPORMAGGIORE",0461-653390,,spormaggiore.contabile@fpsm.tn.it,,spormaggiore.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Spormaggiore
            
",/Scuole/Scuola-dell-infanzia-di-Spormaggiore2,146
147,Scuola dell'infanzia,"Piazza Dante,
    
15 -
    
38070    
STENICO",0465-771019,,stenico.presidente@fpsm.tn.it,,stenico.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Stenico
            
",/Scuole/Scuola-dell-infanzia-di-Stenico2,147
148,Scuola dell'infanzia,"Via S Floriano,
    
22 -
    
38089    
STORO",0465-296084,,storo.presidente@fpsm.tn.it,,storo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Storo
            
",/Scuole/Scuola-dell-infanzia-di-Storo2,148
149,Scuola dell'infanzia,"Piazza IV Novembre - Strigno,
    
11 -
    
38059    
CASTEL IVANO",0461-762327,,strigno.presidente@fpsm.tn.it,,strigno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Strigno
            
",/Scuole/Scuola-dell-infanzia-di-Strigno2,149
150,Scuola dell'infanzia,"Via Dell Asilo,
    
5 -
    
38057    
PERGINE VALSUGANA",0461-538471,,susa.presidente@fpsm.tn.it,,susa.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Susà
            
",/Scuole/Scuola-dell-infanzia-di-Susa2,150
151,Scuola dell'infanzia,"Viale Trento,
    
4 -
    
38080    
CARISOLO",0465-501433,,carisolo.presidente@fpsm.tn.it,,carisolo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Carisolo
            
",/Scuole/Scuola-dell-infanzia-di-Carisolo2,151
152,Scuola dell'infanzia,"Via della Pontara - Casez,
    
10 -
    
38010    
SANZENO",0463-434219,,casez.presidente@fpsm.tn.it,,casez.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Casez
            
",/Scuole/Scuola-dell-infanzia-di-Casez2,152
153,Scuola dell'infanzia,"Via Caduti,
    
1 -
    
38060    
VILLA LAGARINA",0464-801242,,castellano.presidente@fpsm.tn.it,,castellano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Castellano
            
",/Scuole/Scuola-dell-infanzia-di-Castellano2,153
154,Scuola dell'infanzia,"Via Latemar,
    
2 -
    
38030    
CASTELLO-MOLINA DI FIEMME",0462-341153,,castello.fiemme.segretario@fpsm.tn.it,,castello.fiemme.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Castello Di Fiemme
            
",/Scuole/Scuola-dell-infanzia-di-Castello-Di-Fiemme2,154
155,Scuola dell'infanzia,"Via IV Novembre,
    
19 -
    
38073    
CAVEDINE",0461-568548,,cavedine.presidente@fpsm.tn.it,,cavedine.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cavedine
            
",/Scuole/Scuola-dell-infanzia-di-Cavedine2,155
156,Scuola dell'infanzia,"Piazza Zanotelli - Cembra,
    
1 -
    
38034    
CEMBRA LISIGNAGO",0461-680173,,cembra.presidente@fpsm.tn.it,,cembra.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cembra
            
",/Scuole/Scuola-dell-infanzia-di-Cembra2,156
157,Scuola dell'infanzia,"Via Canestrini - Chizzola,
    
1 -
    
38061    
ALA",0464-696397,,chizzola.presidente@fpsm.tn.it,,chizzola.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Chizzola
            
",/Scuole/Scuola-dell-infanzia-di-Chizzola2,157
158,Scuola dell'infanzia,"Via Mattioli,
    
13 -
    
38023    
CLES",0463-625164,,cles.presidente@fpsm.tn.it,,cles.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cles
            
",/Scuole/Scuola-dell-infanzia-di-Cles2,158
159,Scuola dell'infanzia,"Via di S Stefano,
    
2/A -
    
38028    
NOVELLA",0463-1980632,,cloz.brez.presidente@fpsm.tn.it,,cloz.brez.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cloz e Brez
            
",/Scuole/Scuola-dell-infanzia-di-Cloz-e-Brez2,159
160,Scuola dell'infanzia,"Via Roma - Condino,
    
37 -
    
38083    
BORGO CHIESE",0465-621009,,condino.presidente@fpsm.tn.it,,condino.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Condino
            
",/Scuole/Scuola-dell-infanzia-di-Condino2,160
